episode,length,time,reward,delta
0,500.0,0.06278900000000931,-2283.0,-1.157168137491275
1,500.0,0.061292000000037206,-2382.0,-0.9046786225637619
2,500.0,0.05966000000000804,-1887.0,-0.8211306833554193
3,500.0,0.06067000000001599,-2085.0,-0.5657441047898137
4,434.0,0.04867699999999786,-1819.0,100.00007920877292
5,355.0,0.043709999999975935,-1047.0,90.00007128789562
6,232.0,0.02746300000001156,-726.0,81.00006415910607
7,184.0,0.019359000000008564,-579.0,72.90005774319546
8,125.0,0.015934000000015658,-421.0,65.61005196887592
9,36.0,0.003933000000017728,64.0,59.04904677198832
10,106.0,0.013262999999994918,-105.0,53.14414209478949
11,75.0,0.011132000000031894,-173.0,47.82972788531054
12,128.0,0.020130999999992127,-424.0,43.046755096779485
13,81.0,0.013485000000002856,-179.0,38.742079587101536
14,103.0,0.016910999999993237,-399.0,34.867871628391384
15,115.0,0.018677000000025146,-213.0,31.38108446555225
16,40.0,0.007582000000013522,60.0,28.242976018997027
17,37.0,0.006392000000005282,63.0,25.418678417097325
18,132.0,0.02230000000002974,-428.0,22.876810575387594
19,168.0,0.029890999999963697,-563.0,20.589129517848832
20,68.0,0.01295900000002348,-265.0,18.530216566063956
21,50.0,0.007977000000039425,-49.0,16.677194909457555
22,54.0,0.010241000000007716,-53.0,15.009475418511798
23,29.0,0.005901999999991858,71.0,13.508527876660622
24,40.0,0.007258999999976368,60.0,12.157675088994566
25,25.0,0.004347999999993135,75.0,10.941907580095105
26,64.0,0.010785999999995965,-63.0,9.847716822085602
27,51.0,0.008783999999991465,-248.0,8.862945139877041
28,33.0,0.005913000000020929,67.0,7.976650625889334
29,56.0,0.01215300000001207,-253.0,7.178985563300401
30,27.0,0.005441000000018903,73.0,6.461087006970359
31,42.0,0.0073840000000018335,-41.0,5.814978306273318
32,85.0,0.014278999999987718,-84.0,5.23348047564599
33,48.0,0.007055999999977303,-146.0,4.710132428081394
34,51.0,0.00841200000002118,-50.0,4.239119185273253
35,57.0,0.00982699999997294,-155.0,3.8152072667459294
36,79.0,0.01316300000002002,-276.0,3.433686540071335
37,19.0,0.0031559999999899446,81.0,3.0903178860641987
38,21.0,0.0036360000000286163,79.0,2.78128609745778
39,22.0,0.0040380000000368454,-21.0,2.503157487712002
40,33.0,0.0038200000000188084,-32.0,2.252841738940802
41,17.0,0.002345999999988635,83.0,2.0275575650467204
42,17.0,0.0019609999999943284,-16.0,1.8248018085420483
43,20.0,0.002943000000016127,80.0,1.6423216276878492
44,20.0,0.0023829999999520624,80.0,1.4780894649190657
45,44.0,0.006628000000034717,-43.0,1.330280518427159
46,17.0,0.0025509999999826505,83.0,1.1972524665844446
47,19.0,0.0020610000000260698,81.0,1.0775272199259973
48,27.0,0.0032429999999976644,73.0,0.9697744979334004
49,32.0,0.004749000000003889,-130.0,0.8727970481400575
50,20.0,0.0020920000000046457,80.0,0.785517343326049
51,25.0,0.004156999999963773,-24.0,0.7069656089934426
52,14.0,0.0013950000000022555,86.0,0.6362690480940927
53,16.0,0.0016409999999495994,84.0,0.572642143284682
54,41.0,0.005286000000012336,-40.0,0.5153779289562124
55,17.0,0.0025730000000407927,83.0,0.4638401360605968
56,21.0,0.0037370000000009895,79.0,0.41745612245453856
57,15.0,0.0026270000000181426,85.0,0.37571051020908897
58,53.0,0.0061670000000049185,-52.0,0.33813945918818433
59,22.0,0.0032249999999862666,78.0,0.30432551326936164
60,14.0,0.0015240000000176224,86.0,0.27389296194242263
61,64.0,0.00631399999997484,-162.0,0.24650366574817895
62,66.0,0.0077059999999846696,-164.0,0.22185329917336105
63,19.0,0.003042999999991025,81.0,0.19966796925602637
64,36.0,0.004789999999957217,-35.0,0.17970117233042515
65,14.0,0.0024999999999977263,86.0,0.16173105509737695
66,14.0,0.0024000000000228283,86.0,0.14555794958764068
67,17.0,0.003129999999998745,83.0,0.13100215462887377
68,29.0,0.004032999999992626,-28.0,0.11790193916598923
69,51.0,0.005873000000008233,-248.0,0.10611174524939315
70,15.0,0.0027109999999765932,85.0,0.09550057072445384
71,16.0,0.003064999999992324,84.0,0.08595051365200845
72,20.0,0.003302000000019234,-19.0,0.07735546228680334
73,18.0,0.0027220000000056643,82.0,0.0696199160581159
74,36.0,0.003378999999995358,-134.0,0.06265792445231
75,18.0,0.0021980000000212385,-17.0,0.05639213200707616
76,18.0,0.002521999999999025,82.0,0.05075291880636712
77,30.0,0.004933999999991556,-29.0,0.04567762692573751
78,53.0,0.005072000000041044,-151.0,0.04110986423316376
79,20.0,0.003168000000016491,80.0,0.03699887780985023
80,14.0,0.0015189999999734027,86.0,0.03329899002886805
81,17.0,0.0025819999999612264,83.0,0.02996909102597556
82,15.0,0.0024549999999976535,85.0,0.026972181923383687
83,32.0,0.005491999999946984,-31.0,0.024274963731045318
84,31.0,0.0031440000000202417,-30.0,0.02184746735794363
85,51.0,0.007282999999972617,-149.0,0.019662720622150687
86,15.0,0.002613999999994121,85.0,0.017696448559931355
87,20.0,0.002816999999993186,80.0,0.015926803703933956
