episode,length,time,reward,delta
0,149.0,0.024734999999964202,-544.0,100.0
1,500.0,0.07873900000004141,-3075.0,-0.0011880100000001281
2,479.0,0.08342399999992267,-2458.0,10.0
3,287.0,0.05520399999977599,-1573.0,1.0
4,187.0,0.029418000000077882,-780.0,0.09999999999999432
5,64.0,0.014893000000029133,-261.0,0.010000000000005116
6,93.0,0.01087199999983568,-686.0,0.0010000000000047748
7,130.0,0.023408999999901425,-624.0,0.00010000000000331966
8,20.0,0.0035210000000915898,80.0,1.0000000003174137e-05
9,26.0,0.0038420000000769505,74.0,9.999999974752427e-07
10,16.0,0.0019390000002204033,84.0,9.999999406318238e-08
11,16.0,0.003208000000086031,84.0,9.999993721976352e-09
12,22.0,0.0049500000000080036,-21.0,1.0000036354540498e-09
13,36.0,0.006960999999591877,-134.0,1.000017846308765e-10
14,24.0,0.0039859999997133855,76.0,1.000444171950221e-11
15,34.0,0.0050890000002254965,-33.0,9.947598300641403e-13
16,39.0,0.007735000000138825,-236.0,9.947598300641403e-14
17,16.0,0.0030520000000251457,84.0,1.4210854715202004e-14
18,46.0,0.009512000000086118,-144.0,0.0
19,25.0,0.00460300000031566,-24.0,0.0
20,16.0,0.0041959999998653075,84.0,0.0
21,26.0,0.004676000000017666,74.0,0.0
22,38.0,0.006636999999955151,-235.0,0.0
23,46.0,0.008646999999655236,-243.0,0.0
24,35.0,0.007025999999768828,-133.0,0.0
25,16.0,0.002947000000403932,84.0,0.0
26,21.0,0.006054999999832944,79.0,0.0
27,31.0,0.005568999999923108,-30.0,0.0
28,84.0,0.018083999999817024,-281.0,0.0
29,39.0,0.008070000000316213,-236.0,0.0
30,29.0,0.006777000000056432,-28.0,0.0
31,14.0,0.003513000000111788,86.0,0.0
32,17.0,0.0034599999999045394,-16.0,0.0
33,21.0,0.004968000000189932,79.0,0.0
34,16.0,0.003983999999945809,84.0,0.0
35,18.0,0.004208999999718799,-17.0,0.0
36,15.0,0.0037210000000413856,85.0,0.0
37,15.0,0.0031709999998383864,85.0,0.0
38,29.0,0.006015999999817723,-28.0,0.0
39,29.0,0.005075000000033469,-28.0,0.0
40,14.0,0.0021010000000387663,86.0,0.0
41,14.0,0.0025090000003729074,86.0,0.0
42,16.0,0.0041049999999813735,84.0,0.0
43,14.0,0.002883000000110769,86.0,0.0
44,32.0,0.006028000000242173,-31.0,0.0
45,48.0,0.008512000000337139,-245.0,0.0
46,36.0,0.007618000000093161,-134.0,0.0
47,14.0,0.0035609999999905995,86.0,0.0
48,54.0,0.009534999999686988,-152.0,0.0
49,34.0,0.0060479999997369305,-33.0,0.0
50,19.0,0.0038700000000062573,81.0,0.0
51,14.0,0.004163000000062311,86.0,0.0
52,20.0,0.005042000000230473,80.0,0.0
53,17.0,0.00454200000012861,83.0,0.0
54,26.0,0.0036559999998644344,-25.0,0.0
55,36.0,0.007027000000107364,-35.0,0.0
56,52.0,0.008177000000159751,-150.0,0.0
57,38.0,0.005747000000155822,-136.0,0.0
58,14.0,0.002782000000024709,86.0,0.0
59,18.0,0.0027239999999437714,82.0,0.0
60,17.0,0.002745000000231812,83.0,0.0
61,118.0,0.01810399999976653,-612.0,0.0
62,22.0,0.00402299999996103,78.0,0.0
63,16.0,0.004028000000289467,84.0,0.0
