steps,time,reward,delta,converged
1,0.001591000000004783,52.5,100.5,False
2,0.0013030000000000541,283.25,50.0,False
3,0.0013450000000005957,487.0,25.0,False
4,0.0014509999999958723,633.0625,12.5,False
5,0.0013569999999987203,725.03125,6.25,False
6,0.0014430000000018595,780.484375,3.125,False
7,0.0015000000000000568,811.14453125,1.5625,False
8,0.0013779999999954384,828.158203125,0.78125,False
9,0.0014759999999967022,837.4169921875,0.390625,False
10,0.0014099999999999113,842.41943359375,0.1953125,False
11,0.0013720000000034815,845.107177734375,0.09765625,False
12,0.0015199999999992997,846.5498046875,0.048828125,False
13,0.001442999999994754,847.2725830078125,0.0244140625,False
14,0.0013420000000010646,847.6339721679688,0.01220703125,False
15,0.0013360000000020023,847.8146667480469,0.006103515625,False
16,0.0014189999999985048,847.9050140380859,0.0030517578125,False
17,0.0014230000000026166,847.9501876831055,0.00152587890625,False
18,0.0013849999999990814,847.9727745056152,0.000762939453125,False
19,0.001426999999999623,847.9840679168701,0.0003814697265625,False
20,0.0016439999999988686,847.9897146224976,0.00019073486328125,False
21,0.0014770000000012828,847.9925379753113,9.5367431640625e-05,False
22,0.0015420000000005984,847.9939496517181,4.76837158203125e-05,False
23,0.0014859999999998763,847.9946554899216,2.384185791015625e-05,False
24,0.0021100000000018326,847.9950084090233,1.1920928955078125e-05,False
25,0.002108999999997252,847.9951848685741,5.9604644775390625e-06,True
