episode,length,time,reward,delta
0,500.0,0.07570899999996072,-2679.0,-0.7941438537405198
1,500.0,0.07243999999991502,-2481.0,-0.9224315051215111
2,321.0,0.042677000000026055,-815.0,100.00066046833462
3,122.0,0.017384999999990214,-220.0,90.00059442150116
4,113.0,0.017260999999962223,-310.0,81.00053497935104
5,432.0,0.0599849999999833,-1817.0,72.90048148141594
6,49.0,0.007473000000004504,51.0,65.61043333327434
7,161.0,0.026399999999966894,-457.0,59.04938999994691
8,201.0,0.029490000000009786,-497.0,53.14445099995222
9,115.0,0.0203359999999293,-510.0,47.830005899957
10,124.0,0.018743999999969674,-618.0,43.0470053099613
11,130.0,0.02212999999994736,-327.0,38.74230477896517
12,205.0,0.036319999999932406,-600.0,34.86807430106866
13,119.0,0.020634999999970205,-217.0,31.381266870961795
14,81.0,0.015625,-80.0,28.24314018386562
15,42.0,0.007619999999974425,58.0,25.41882616547906
16,100.0,0.016912999999931344,-99.0,22.876943548931152
17,51.0,0.009200999999961823,-50.0,20.589249194038032
18,60.0,0.009388999999941916,-59.0,18.530324274634225
19,111.0,0.019919999999956417,-209.0,16.677291847170807
20,160.0,0.02910199999996621,-555.0,15.009562662453732
21,76.0,0.013962000000105945,-273.0,13.508606396208364
22,39.0,0.006985999999983505,61.0,12.15774575658753
23,67.0,0.011964999999918291,-66.0,10.941971180928775
24,52.0,0.00945400000000518,-249.0,9.847774062835896
25,57.0,0.010913999999957014,-56.0,8.862996656552312
26,29.0,0.005355000000008658,71.0,7.976696990897082
27,106.0,0.018455000000017208,-402.0,7.1790272918073725
28,27.0,0.004228000000011889,73.0,6.461124562626637
29,22.0,0.0035349999999425563,78.0,5.815012106363966
30,30.0,0.004716000000030363,-128.0,5.233510895727576
31,73.0,0.013188000000013744,-369.0,4.71015980615482
32,38.0,0.0048529999999118445,-37.0,4.239143825539344
33,47.0,0.0092659999999114,-145.0,3.8152294429854123
34,45.0,0.006309999999984939,55.0,3.433706498686874
35,135.0,0.020421999999939544,-629.0,3.090335848818185
36,45.0,0.008333999999990738,55.0,2.781302263936368
37,49.0,0.008098000000018146,-246.0,2.5031720375427255
38,53.0,0.008991999999921063,-151.0,2.2528548337884473
39,20.0,0.002970000000004802,-19.0,2.027569350409607
40,21.0,0.003949000000034175,79.0,1.8248124153686405
41,16.0,0.0031769999999369247,84.0,1.6423311738317778
42,30.0,0.005495999999993728,-29.0,1.4780980564486015
43,22.0,0.003626000000053864,78.0,1.330288250803747
44,28.0,0.0053719999999657375,72.0,1.1972594257233737
45,15.0,0.002763999999956468,85.0,1.0775334831510435
46,52.0,0.00795400000004065,-51.0,0.9697801348359434
47,26.0,0.003505000000018299,-25.0,0.8728021213523505
48,38.0,0.006011999999941509,-136.0,0.7855219092171097
49,41.0,0.005266000000005988,-139.0,0.7069697182953973
50,19.0,0.0025950000000420914,81.0,0.6362727464658633
51,23.0,0.0042180000000371365,-22.0,0.5726454718192713
52,23.0,0.0039380000000619475,-121.0,0.5153809246373413
53,31.0,0.00495499999999538,-129.0,0.46384283217361144
54,21.0,0.0036949999999933425,-119.0,0.41745854895624745
55,20.0,0.0036079999999856227,-19.0,0.37571269406062413
56,18.0,0.003125000000068212,82.0,0.338141424654566
57,22.0,0.003919999999993706,78.0,0.30432728218910654
58,31.0,0.004618000000050415,-30.0,0.27389455397019447
59,29.0,0.00525999999990745,-226.0,0.2465050985731807
60,73.0,0.009516999999959808,-369.0,0.22185458871585695
61,23.0,0.00432100000000446,77.0,0.199669129844267
62,34.0,0.00619399999993675,-132.0,0.17970221685983745
63,28.0,0.004666000000042914,72.0,0.16173199517385228
64,14.0,0.0014320000000225264,86.0,0.1455587956564699
65,34.0,0.004753999999934422,-231.0,0.1310029160908215
66,23.0,0.0030460000000402943,-22.0,0.1179026244817436
67,21.0,0.0029329999999845313,79.0,0.10611236203357066
68,76.0,0.012810000000058608,-372.0,0.09550112583021075
69,12.0,0.002136999999947875,88.0,0.08595101324719678
70,35.0,0.005316999999990912,-133.0,0.07735591192248137
71,16.0,0.0023120000000744767,-15.0,0.0696203207302375
72,20.0,0.002999000000045271,80.0,0.06265828865721801
73,12.0,0.0022679999999581923,88.0,0.05639245979149621
74,14.0,0.0021390000000565124,86.0,0.050753213812342324
75,51.0,0.008447999999930289,-248.0,0.045677892431100986
76,29.0,0.00432100000000446,-226.0,0.041110103187989466
77,16.0,0.0023069999999734137,84.0,0.03699909286919478
78,31.0,0.005289999999945394,-129.0,0.03329918358227246
79,20.0,0.0022400000000288856,-19.0,0.029969265224039532
80,38.0,0.004842999999937092,-136.0,0.026972338701639842
81,39.0,0.006855999999970663,-236.0,0.024275104831474437
82,62.0,0.009957999999983258,-259.0,0.021847594348329835
83,35.0,0.003202999999984968,-133.0,0.019662834913489746
84,56.0,0.007922000000007756,-352.0,0.017696551422133666
85,19.0,0.0034699999999929787,81.0,0.01592689627992172
86,37.0,0.0058950000000095315,-234.0,0.014334206651923864
87,104.0,0.016907999999943968,-1093.0,0.012900785986730057
88,93.0,0.014044000000012602,-884.0,0.011610707388058472
89,45.0,0.006636999999955151,-242.0,0.010449636649255467
90,19.0,0.002970000000004802,81.0,0.009404672984331341
91,19.0,0.002234000000044034,81.0,0.008464205685896786
92,41.0,0.005565999999930682,-337.0,0.0076177851173042654
93,74.0,0.012215999999966698,-469.0,0.006856006605573839
94,87.0,0.013589000000024498,-878.0,0.006170405945013613
95,27.0,0.004861000000005333,-26.0,0.005553365350507988
96,26.0,0.004424000000085471,-25.0,0.004998028815450084
97,18.0,0.003451000000040949,82.0,0.004498225933900812
98,12.0,0.0024409999999761567,88.0,0.004048403340505047
99,38.0,0.006009999999946558,-235.0,0.0036435630064488578
100,17.0,0.002814999999941392,83.0,0.0032792067057982877
101,13.0,0.002215999999975793,87.0,0.0029512860352127746
102,21.0,0.0036820000000261643,-20.0,0.002656157431687234
103,50.0,0.008755999999948472,-445.0,0.002390541688512826
104,21.0,0.0044100000000071304,79.0,0.002151487519668649
105,23.0,0.005302000000028784,77.0,0.0019363387677060473
106,19.0,0.004209999999943648,81.0,0.0017427048909297582
107,116.0,0.01749599999993734,-1105.0,0.0015684344018325191
108,15.0,0.0027169999999614447,85.0,0.0014115909616521094
109,12.0,0.002472000000011576,88.0,0.0012704318654925828
110,37.0,0.006779999999935171,-135.0,0.0011433886789404824
111,18.0,0.003290999999990163,82.0,0.0010290498110521185
112,19.0,0.003348999999957414,-18.0,0.0009261448299469066
113,18.0,0.0032629999999471693,82.0,0.000833530346952216
114,44.0,0.00851999999997588,-340.0,0.0007501773122555733
115,17.0,0.0032800000000179352,83.0,0.0006751595810357003
116,28.0,0.005830000000059954,-27.0,0.000607643622927867
117,38.0,0.007402999999953863,-235.0,0.0005468792606393436
118,43.0,0.007556999999906111,-141.0,0.000492191334572567
119,16.0,0.0034180000000105792,84.0,0.00044297220111388924
120,17.0,0.002916000000027452,-16.0,0.00039867498099965815
121,32.0,0.006281999999941945,-31.0,0.00035880748289685016
122,71.0,0.012910999999917294,-664.0,0.0003229267346114284
123,14.0,0.0029799999999795546,86.0,0.0002906340611446012
124,35.0,0.007060000000024047,-133.0,0.0002615706550272989
125,26.0,0.004465999999979431,-25.0,0.00023541358952172686
126,42.0,0.008595000000013897,-140.0,0.00021187223056529092
127,12.0,0.002074999999990723,88.0,0.0001906850075101829
128,16.0,0.0038120000000390064,84.0,0.0001716165067620068
129,20.0,0.004015999999978703,80.0,0.0001544548560872272
130,18.0,0.0033819999999877837,82.0,0.00013900937047139905
131,33.0,0.005595999999968626,-230.0,0.00012510843342283806
132,14.0,0.0027000000000043656,86.0,0.00011259759007486991
133,22.0,0.004424000000085471,78.0,0.00010133783106880401
134,23.0,0.004009999999993852,-22.0,9.12040479619236e-05
135,14.0,0.002807000000075277,86.0,8.208364316431016e-05
136,13.0,0.002438999999981206,87.0,7.387527884361589e-05
137,16.0,0.0030679999999847496,84.0,6.648775095641213e-05
138,28.0,0.0055690000000367945,-27.0,5.9838975857928745e-05
139,39.0,0.0068400000000110595,-137.0,5.385507827782021e-05
140,14.0,0.0028089999999565407,86.0,4.846957044435385e-05
141,58.0,0.010546999999974105,-354.0,4.362261340418172e-05
142,18.0,0.0033609999999271167,82.0,3.9260352068026805e-05
143,16.0,0.0026659999999765205,84.0,3.533431686264521e-05
144,32.0,0.00578799999993862,-31.0,3.180088518206503e-05
145,23.0,0.003777000000013686,77.0,2.862079666954287e-05
146,13.0,0.0020759999999881984,87.0,2.5758717001167497e-05
147,12.0,0.002078999999980624,88.0,2.318284529678749e-05
148,18.0,0.003164999999967222,82.0,2.0864560767108742e-05
149,21.0,0.003751999999963118,-20.0,1.8778104688976782e-05
150,16.0,0.0031350000000429645,84.0,1.690029422718453e-05
151,13.0,0.0029379999999719075,87.0,1.5210264805887164e-05
152,28.0,0.006111000000032618,-27.0,1.3689238329561704e-05
153,20.0,0.0027710000000524815,-19.0,1.2320314496605533e-05
154,15.0,0.0028049999999666397,85.0,1.1088283045523895e-05
155,14.0,0.0023739999999179418,86.0,9.979454745234762e-06
156,39.0,0.007420000000024629,-137.0,8.981509267869114e-06
157,14.0,0.00273200000003726,86.0,8.083358338240032e-06
158,16.0,0.0029339999999820066,84.0,7.2750224973106015e-06
159,20.0,0.002966000000014901,80.0,6.547520243316285e-06
160,15.0,0.001610000000027867,85.0,5.8927682147214e-06
161,16.0,0.0018669999999474385,84.0,5.3034913918281745e-06
162,22.0,0.004556999999977052,-21.0,4.773142251224272e-06
163,37.0,0.0050670000000536675,-135.0,4.2958280204175026e-06
164,15.0,0.002969000000007327,85.0,3.866245222639009e-06
165,25.0,0.0032760000000280343,75.0,3.4796207017961933e-06
166,14.0,0.002903000000060274,86.0,3.1316586301954885e-06
167,17.0,0.0034940000000460714,-16.0,2.818492774281367e-06
168,14.0,0.0022270000000617074,86.0,2.536643492589974e-06
169,21.0,0.003428999999982807,-20.0,2.28297913906772e-06
170,12.0,0.002177999999958047,88.0,2.0546812180555207e-06
171,12.0,0.002375000000029104,88.0,1.8492130919867122e-06
172,12.0,0.0019559999999501088,88.0,1.6642917870512974e-06
173,12.0,0.0019129999999449865,88.0,1.497862612609424e-06
174,28.0,0.0051289999998971325,-225.0,1.3480763527695672e-06
175,14.0,0.0025789999999688007,86.0,1.2132687174926104e-06
176,14.0,0.0021440000000438886,86.0,1.0919418400590075e-06
177,14.0,0.002133000000071661,86.0,9.827476503687649e-07
178,23.0,0.0034479999999348365,-22.0,8.844728824897174e-07
179,16.0,0.0028290000000197324,84.0,7.960255885564038e-07
180,62.0,0.010167000000024018,-358.0,7.164230311218489e-07
181,33.0,0.004258000000049833,-329.0,6.447807265885785e-07
182,15.0,0.0017579999999952634,85.0,5.803026539297207e-07
183,14.0,0.001768999999967491,86.0,5.222723871156632e-07
184,64.0,0.01065100000005259,-360.0,4.700451512462678e-07
185,14.0,0.00222499999995307,86.0,4.230406318583846e-07
186,19.0,0.0026669999999739957,-18.0,3.807365658303752e-07
187,12.0,0.002421000000026652,88.0,3.4266291493167955e-07
188,18.0,0.0034060000000408763,-17.0,3.083966220174261e-07
189,16.0,0.0030770000000757136,-15.0,2.7755696407893993e-07
190,23.0,0.003851999999938016,77.0,2.498012605656186e-07
191,12.0,0.0023069999999734137,88.0,2.248211359301422e-07
192,13.0,0.0025650000000041473,87.0,2.0233902375821344e-07
193,17.0,0.003237000000012813,-16.0,1.8210512564564851e-07
194,19.0,0.003308000000060929,81.0,1.638946116599982e-07
195,20.0,0.003573000000073989,80.0,1.4750514765182743e-07
196,22.0,0.004280999999991764,-21.0,1.3275463572881563e-07
197,12.0,0.0024769999999989523,88.0,1.1947916789267765e-07
198,12.0,0.0017749999999523425,88.0,1.0753124968232441e-07
199,12.0,0.001722999999969943,88.0,9.67781232930065e-08
200,34.0,0.00557200000002922,-231.0,8.71003038582785e-08
201,20.0,0.0032690000000457076,-19.0,7.839027205136517e-08
