episode,length,time,reward,delta
0,128.0,0.02235200000018267,-127.0,100.0
1,340.0,0.053732000000081825,-1923.0,50.0
2,500.0,0.07804700000019693,-2184.0,-0.001353991006836086
3,215.0,0.034094999999979336,-610.0,25.0
4,114.0,0.019252999999935128,-113.0,12.5
5,86.0,0.01596600000016224,-481.0,6.25
6,127.0,0.024495000000115397,-423.0,3.125
7,133.0,0.025873000000046886,-231.0,1.5625
8,77.0,0.014863999999988664,-76.0,0.78125
9,50.0,0.010009999999965657,-247.0,0.390625
10,56.0,0.011107999999921958,-154.0,0.1953125
11,184.0,0.039580000000114524,-1272.0,0.09765625
12,29.0,0.005869999999958964,71.0,0.048828125
13,33.0,0.005913999999847874,67.0,0.0244140625
14,26.0,0.004981999999927211,74.0,0.01220703125
15,44.0,0.008166999999957625,56.0,0.006103515625
16,47.0,0.00980600000002596,-145.0,0.0030517578125
17,83.0,0.016086000000086642,-280.0,0.00152587890625
18,28.0,0.004592000000002372,72.0,0.000762939453125
19,38.0,0.005038000000013199,62.0,0.0003814697265625
20,105.0,0.022211999999854015,-698.0,0.00019073486328125
21,61.0,0.011691000000155327,-60.0,9.5367431640625e-05
22,33.0,0.005349000000023807,-32.0,4.76837158203125e-05
23,22.0,0.0047559999998156854,78.0,2.384185791015625e-05
24,129.0,0.02270500000008724,-722.0,1.1920928955078125e-05
25,20.0,0.0036920000000009168,80.0,5.9604644775390625e-06
26,27.0,0.005550000000084765,-26.0,2.9802322387695312e-06
27,42.0,0.007601999999906184,-41.0,1.4901161193847656e-06
28,19.0,0.004498999999896114,81.0,7.450580596923828e-07
29,67.0,0.012223000000176398,-462.0,3.725290298461914e-07
30,38.0,0.0056449999999586,-37.0,1.862645149230957e-07
31,18.0,0.0036410000000159926,82.0,9.313225746154785e-08
32,22.0,0.005561000000170679,-21.0,4.6566128730773926e-08
33,20.0,0.004230999999890628,80.0,2.3283064365386963e-08
34,56.0,0.008978999999953885,-352.0,1.1641532182693481e-08
35,41.0,0.00716099999999642,-139.0,5.820766091346741e-09
36,22.0,0.003553999999894586,-21.0,2.9103830456733704e-09
37,26.0,0.005910000000085347,74.0,1.4551915228366852e-09
38,19.0,0.0036130000000866858,-18.0,7.275957614183426e-10
39,29.0,0.0052550000000337604,-28.0,3.637978807091713e-10
40,72.0,0.01315999999997075,-269.0,1.8189894035458565e-10
41,24.0,0.005190999999967971,-122.0,9.094947017729282e-11
42,24.0,0.004564999999956854,76.0,4.547473508864641e-11
43,17.0,0.0024450000000797445,-16.0,2.2737367544323206e-11
44,22.0,0.004307999999809908,78.0,1.1368683772161603e-11
45,39.0,0.00807699999995748,-38.0,5.6843418860808015e-12
46,22.0,0.005063999999947555,-21.0,2.8421709430404007e-12
47,25.0,0.004781000000093627,-24.0,1.4210854715202004e-12
48,32.0,0.006091999999853215,-130.0,7.105427357601002e-13
49,14.0,0.0035060000000157743,86.0,3.552713678800501e-13
50,52.0,0.00888400000008005,-150.0,1.7053025658242404e-13
51,69.0,0.01382899999998699,-266.0,8.526512829121202e-14
52,14.0,0.003425999999990381,86.0,4.263256414560601e-14
53,26.0,0.0065690000001268345,74.0,2.842170943040401e-14
54,36.0,0.008182999999917229,-35.0,1.4210854715202004e-14
55,14.0,0.0036420000001271546,86.0,0.0
56,33.0,0.007616999999981999,-329.0,0.0
57,32.0,0.007951999999932013,-31.0,0.0
58,27.0,0.007522999999991953,73.0,0.0
59,23.0,0.004617999999936728,77.0,0.0
60,24.0,0.004940000000033251,-23.0,0.0
61,51.0,0.009696999999960099,-248.0,0.0
62,25.0,0.0053089999998974235,75.0,0.0
63,24.0,0.004386999999951513,-23.0,0.0
64,52.0,0.010998999999856096,-348.0,0.0
65,45.0,0.009632000000010521,-242.0,0.0
66,17.0,0.0036769999999251013,-16.0,0.0
67,43.0,0.010674999999991996,-240.0,0.0
68,14.0,0.0040220000000772416,86.0,0.0
69,16.0,0.0044430000000375,84.0,0.0
70,20.0,0.0044100000000071304,80.0,0.0
71,20.0,0.004145000000107757,80.0,0.0
72,30.0,0.006245000000035361,70.0,0.0
73,53.0,0.012257999999974345,-52.0,0.0
74,36.0,0.008534999999938009,-233.0,0.0
75,18.0,0.0036950000001070293,82.0,0.0
76,16.0,0.00391300000001138,84.0,0.0
77,15.0,0.003547000000025946,85.0,0.0
78,38.0,0.008990999999923588,-235.0,0.0
79,16.0,0.0046740000000227155,-15.0,0.0
80,19.0,0.004198000000087632,81.0,0.0
81,19.0,0.005230999999866981,81.0,0.0
82,20.0,0.005454999999983556,80.0,0.0
83,20.0,0.004732999999987442,80.0,0.0
84,12.0,0.002881999999999607,88.0,0.0
85,44.0,0.010982999999896492,-241.0,0.0
86,40.0,0.008945999999923515,-138.0,0.0
87,21.0,0.004948000000013053,79.0,0.0
88,22.0,0.005467999999837048,78.0,0.0
89,16.0,0.0036849999999049032,84.0,0.0
90,24.0,0.005672999999887907,-23.0,0.0
91,16.0,0.0038279999998849235,-15.0,0.0
92,40.0,0.009078999999928783,-39.0,0.0
93,28.0,0.006709000000000742,72.0,0.0
94,18.0,0.004354000000148517,82.0,0.0
95,32.0,0.008053000000018073,-31.0,0.0
96,41.0,0.008244999999988067,-139.0,0.0
97,21.0,0.004454000000123415,-20.0,0.0
98,39.0,0.00748499999986052,-38.0,0.0
99,16.0,0.003163000000085958,-15.0,0.0
100,44.0,0.009412999999995009,-439.0,0.0
101,35.0,0.006765999999970518,-232.0,0.0
102,18.0,0.003619000000071537,82.0,0.0
103,35.0,0.0069370000001072185,-331.0,0.0
104,53.0,0.011854000000084852,-448.0,0.0
105,36.0,0.008252000000084081,-134.0,0.0
106,53.0,0.011862999999948443,-349.0,0.0
107,12.0,0.0034089999999196152,88.0,0.0
108,30.0,0.007033999999976004,-29.0,0.0
109,42.0,0.008854000000155793,-338.0,0.0
110,32.0,0.00740300000006755,-130.0,0.0
111,14.0,0.0032310000001416483,86.0,0.0
112,15.0,0.0032180000000607833,-14.0,0.0
113,23.0,0.0049539999999979045,-121.0,0.0
114,12.0,0.003173999999944499,88.0,0.0
115,17.0,0.003484000000071319,83.0,0.0
116,32.0,0.006413999999949738,-229.0,0.0
117,14.0,0.0031089999999949214,86.0,0.0
118,20.0,0.0038340000000971486,80.0,0.0
119,23.0,0.004345000000057553,-22.0,0.0
120,19.0,0.00415900000007241,-18.0,0.0
121,16.0,0.0036199999999553256,84.0,0.0
122,22.0,0.005231000000094355,-21.0,0.0
123,23.0,0.004609999999956926,-22.0,0.0
124,15.0,0.003652000000101907,-14.0,0.0
125,28.0,0.005925999999817577,72.0,0.0
126,24.0,0.0061920000000554865,-122.0,0.0
127,23.0,0.006047000000080516,-22.0,0.0
128,31.0,0.0066520000000309665,-129.0,0.0
129,14.0,0.004038999999920634,86.0,0.0
130,12.0,0.0034370000000762957,88.0,0.0
131,30.0,0.006309999999984939,-128.0,0.0
132,25.0,0.006974000000127489,75.0,0.0
133,16.0,0.0035410000000410946,84.0,0.0
134,21.0,0.004294000000072629,-20.0,0.0
135,18.0,0.003949000000147862,82.0,0.0
136,17.0,0.0032259999998132116,83.0,0.0
137,18.0,0.0028580000000602013,82.0,0.0
138,45.0,0.00949199999990924,-143.0,0.0
139,23.0,0.0055139999999482825,-22.0,0.0
