params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",90.70791000000001,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",8.603752000000014,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",7.442968000000008,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",7.580892000000006,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",6.951605999999998,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",6.924311000000017,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",6.802256999999997,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",6.689401000000004,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",6.491072000000003,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",6.292085000000014,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",85.39865200000003,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",8.083470999999975,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",7.467471999999987,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",7.07201699999996,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",7.043326999999977,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",7.538457999999991,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",6.8908799999999815,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",6.6165189999999825,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",6.966461999999979,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",6.803875000000005,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",89.05223699999999,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",9.215344000000016,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",7.929256000000009,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",7.88947399999995,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",8.581718000000023,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",7.864315999999974,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",7.207265000000007,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",7.002119999999991,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",6.714113999999938,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",7.107848999999987,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",86.29207399999996,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",9.174577999999997,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",7.00648799999999,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",8.05735699999991,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",7.727908999999954,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",7.219347000000084,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",7.122976999999992,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",7.21413199999995,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",6.69580099999996,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",6.49679500000002,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",89.57941100000005,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",8.49447699999996,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",7.254452000000015,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",6.784392999999909,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",6.614743999999973,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",6.925826000000029,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",6.503600000000006,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",6.706723000000011,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",6.630553999999961,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",6.341652000000067,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",82.53134599999998,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",7.377819999999929,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",6.836243999999965,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",6.743347000000085,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",6.855126000000041,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",7.242875000000026,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",7.512585999999942,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",6.678416000000084,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",6.438060000000064,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",6.848785999999905,100,6.7692307692307665,6.769230769230769,6.769230769230769,6.769230769230769,2.6645352591003757e-15
