episode,length,time,reward,delta
0,105.0,0.02147800000011557,-203.0,100.0
1,500.0,0.08208599999989019,-2481.0,-0.16375367707291
2,265.0,0.04532900000003792,-1254.0,10.0
3,362.0,0.06251299999985349,-2638.0,1.0
4,45.0,0.007982999999967433,-341.0,0.09999999999999432
5,146.0,0.026006999999935942,-838.0,0.010000000000005116
6,87.0,0.01494700000012017,-185.0,0.0010000000000047748
7,18.0,0.003040999999939231,82.0,0.00010000000000331966
8,46.0,0.01034799999979441,54.0,1.0000000003174137e-05
9,37.0,0.007216999999855034,-36.0,9.999999974752427e-07
10,41.0,0.006951000000299246,-40.0,9.999999406318238e-08
11,44.0,0.007679999999709253,-43.0,9.999993721976352e-09
12,29.0,0.005279999999856955,71.0,1.0000036354540498e-09
13,88.0,0.016816999999718973,-384.0,1.000017846308765e-10
14,21.0,0.004117999999834865,-20.0,1.000444171950221e-11
15,105.0,0.0185380000002624,-401.0,9.947598300641403e-13
16,27.0,0.004307000000153494,-26.0,9.947598300641403e-14
17,24.0,0.0037420000003294263,-23.0,1.4210854715202004e-14
18,53.0,0.009354999999686697,-448.0,0.0
19,44.0,0.00728800000024421,-340.0,0.0
20,38.0,0.00643999999965672,-136.0,0.0
21,52.0,0.009072000000287517,-348.0,0.0
22,53.0,0.010230999999748747,-250.0,0.0
23,25.0,0.004833000000417087,-24.0,0.0
24,109.0,0.020812000000205444,-900.0,0.0
25,21.0,0.0038119999999253196,79.0,0.0
26,51.0,0.008867999999893073,-347.0,0.0
27,56.0,0.010491000000001804,-154.0,0.0
28,71.0,0.01280399999996007,-466.0,0.0
29,45.0,0.008225000000038563,-143.0,0.0
30,63.0,0.012049000000388332,-458.0,0.0
31,25.0,0.004817000000002736,-24.0,0.0
32,58.0,0.011090999999851192,-354.0,0.0
33,14.0,0.0028720000000248547,86.0,0.0
34,191.0,0.03175999999984924,-1774.0,0.0
35,68.0,0.011539999999968131,-661.0,0.0
36,42.0,0.008035999999719934,-239.0,0.0
37,35.0,0.006296000000020285,-34.0,0.0
38,23.0,0.003640000000359578,77.0,0.0
39,13.0,0.0024549999998271232,-12.0,0.0
40,62.0,0.009144999999989523,-358.0,0.0
41,73.0,0.012206999999762047,-468.0,0.0
42,20.0,0.00358200000027864,80.0,0.0
43,52.0,0.009416999999757536,-447.0,0.0
44,35.0,0.005263000000013562,-133.0,0.0
45,20.0,0.004397000000153639,80.0,0.0
46,32.0,0.005459999999857246,-31.0,0.0
47,20.0,0.0035240000001977023,80.0,0.0
48,12.0,0.0021460000002662127,88.0,0.0
49,28.0,0.0031709999998383864,-27.0,0.0
50,18.0,0.0019010000000889704,82.0,0.0
51,63.0,0.009853999999904772,-359.0,0.0
52,21.0,0.0041699999997035775,79.0,0.0
53,80.0,0.012619000000086089,-574.0,0.0
54,43.0,0.006767999999738095,-141.0,0.0
55,35.0,0.0034920000002784946,-34.0,0.0
56,44.0,0.008453000000372413,-43.0,0.0
57,79.0,0.014874999999847205,-573.0,0.0
58,18.0,0.003005999999913911,82.0,0.0
59,31.0,0.005693000000064785,-129.0,0.0
60,82.0,0.013167000000066764,-675.0,0.0
61,31.0,0.005191999999624386,-30.0,0.0
62,30.0,0.0064079999997375126,70.0,0.0
63,21.0,0.003210000000308355,79.0,0.0
64,35.0,0.00727599999981976,-34.0,0.0
65,17.0,0.0027920000002268353,83.0,0.0
66,23.0,0.0037170000000514847,77.0,0.0
67,30.0,0.0055139999999482825,-29.0,0.0
68,68.0,0.01028299999961746,-463.0,0.0
69,28.0,0.0041879999998855055,72.0,0.0
70,53.0,0.007787000000007538,-250.0,0.0
71,14.0,0.0021729999998569838,86.0,0.0
72,22.0,0.003515000000334112,-120.0,0.0
73,29.0,0.0046830000001136796,-28.0,0.0
74,20.0,0.0033000000003085006,80.0,0.0
75,22.0,0.003030999999737105,-21.0,0.0
76,30.0,0.005254999999579013,-29.0,0.0
77,59.0,0.009525999999823398,-256.0,0.0
78,25.0,0.0042789999997694395,-24.0,0.0
