episode,length,time,reward,delta
0,500.0,0.059534999999982574,-2283.0,-0.21870224031490748
1,500.0,0.054528000000004795,-2184.0,-0.5000830634061819
2,324.0,0.04977799999994659,-818.0,100.00005530027539
3,79.0,0.014441000000033455,-78.0,50.0000276501377
4,82.0,0.015234999999961474,-81.0,25.000013825068848
5,113.0,0.02024200000005294,-211.0,12.500006912534417
6,25.0,0.004272000000014486,75.0,6.250003456267208
7,22.0,0.003998000000024149,78.0,3.1250017281336113
8,66.0,0.012053000000037173,34.0,1.5625008640668057
9,25.0,0.0042469999999639185,75.0,0.7812504320334028
10,16.0,0.0036540000000968575,84.0,0.3906252160167014
11,24.0,0.004589000000009946,76.0,0.1953126080083507
12,26.0,0.005419000000074448,74.0,0.09765630400417535
13,31.0,0.0069280000000162545,69.0,0.04882815200208768
14,86.0,0.015455999999971937,-283.0,0.024414076001050944
15,69.0,0.01186500000005708,-167.0,0.012207038000525472
16,29.0,0.0059870000000046275,-28.0,0.006103519000262736
17,16.0,0.0036989999999832435,84.0,0.0030517595001242626
18,20.0,0.004079999999930806,80.0,0.0015258797500621313
19,19.0,0.003578999999945154,81.0,0.0007629398750310656
20,22.0,0.004549999999994725,78.0,0.0003814699375084274
21,16.0,0.00432100000000446,84.0,0.0001907349687542137
22,14.0,0.0035809999999401043,86.0,9.536748437710685e-05
23,18.0,0.0036700000000564614,82.0,4.768374219565885e-05
24,17.0,0.003834999999980937,83.0,2.3841871097829426e-05
25,14.0,0.003132000000050539,86.0,1.1920935548914713e-05
26,53.0,0.013662999999951353,-151.0,5.9604677744573564e-06
27,14.0,0.002761000000077729,86.0,2.9802338872286782e-06
28,16.0,0.003767999999922722,84.0,1.4901169436143391e-06
29,16.0,0.0046149999999443025,84.0,7.450584718071696e-07
30,25.0,0.005869999999958964,-24.0,3.725292287981574e-07
31,14.0,0.0030420000000503933,86.0,1.862646143990787e-07
32,18.0,0.0030190000001084627,82.0,9.313231430496671e-08
33,67.0,0.011468000000036227,-66.0,4.6566157152483356e-08
34,16.0,0.0031289999999444262,84.0,2.3283078576241678e-08
35,18.0,0.004014999999981228,82.0,1.1641532182693481e-08
36,16.0,0.002994000000057895,84.0,5.820766091346741e-09
37,14.0,0.002994999999941683,86.0,2.9103830456733704e-09
38,14.0,0.0025099999999156353,86.0,1.4551915228366852e-09
39,16.0,0.0028630000000475775,84.0,7.275957614183426e-10
40,29.0,0.005823000000077627,-127.0,3.637978807091713e-10
41,14.0,0.0017100000000027649,86.0,1.8189894035458565e-10
42,14.0,0.0017249999999648935,86.0,9.094947017729282e-11
43,17.0,0.0027789999999185966,83.0,4.547473508864641e-11
44,20.0,0.0021089999999048814,80.0,2.2737367544323206e-11
45,14.0,0.0014989999999670545,86.0,1.1368683772161603e-11
46,15.0,0.0027199999999538704,85.0,5.6843418860808015e-12
47,14.0,0.0028600000000551518,86.0,2.8421709430404007e-12
48,26.0,0.004628999999908956,-25.0,1.4210854715202004e-12
49,14.0,0.0026239999999688735,86.0,7.105427357601002e-13
50,16.0,0.0018039999999928114,84.0,3.552713678800501e-13
51,69.0,0.008599000000003798,-365.0,1.7053025658242404e-13
52,16.0,0.0016910000000507353,84.0,8.526512829121202e-14
53,14.0,0.0019369999999980791,86.0,4.263256414560601e-14
54,14.0,0.0019369999999980791,86.0,2.842170943040401e-14
55,14.0,0.0016160000000127184,86.0,1.4210854715202004e-14
56,14.0,0.0020929999999452775,86.0,0.0
57,14.0,0.0013940000000047803,86.0,0.0
58,16.0,0.003115999999977248,84.0,0.0
59,29.0,0.004547000000002299,-28.0,0.0
60,14.0,0.002517000000011649,86.0,0.0
61,16.0,0.0030549999999038846,84.0,0.0
62,18.0,0.002379000000019005,-17.0,0.0
63,14.0,0.0017540000000053624,86.0,0.0
64,34.0,0.003425999999990381,-132.0,0.0
65,14.0,0.0014959999999746287,86.0,0.0
66,14.0,0.002090999999950327,86.0,0.0
67,18.0,0.002296000000001186,-17.0,0.0
68,15.0,0.0016289999999798965,-14.0,0.0
69,14.0,0.0015959999999495267,86.0,0.0
70,19.0,0.0026700000000801083,81.0,0.0
71,14.0,0.0015750000000025466,86.0,0.0
72,15.0,0.002612999999996646,85.0,0.0
73,14.0,0.002426000000014028,86.0,0.0
74,14.0,0.0015200000000277214,86.0,0.0
75,25.0,0.004045000000019172,-24.0,0.0
76,20.0,0.0039040000000341024,80.0,0.0
77,14.0,0.002442999999971107,86.0,0.0
78,14.0,0.002567999999996573,86.0,0.0
79,14.0,0.002612999999996646,86.0,0.0
80,59.0,0.00980200000003606,-58.0,0.0
81,14.0,0.002590000000054715,86.0,0.0
82,14.0,0.002441999999973632,86.0,0.0
83,14.0,0.0023299999999153442,86.0,0.0
84,14.0,0.002665000000092732,86.0,0.0
85,15.0,0.0029260000000022046,85.0,0.0
86,19.0,0.00301600000000235,81.0,0.0
87,14.0,0.00220400000000609,86.0,0.0
88,16.0,0.001945000000091568,84.0,0.0
89,17.0,0.0020150000000285218,83.0,0.0
90,30.0,0.0039480000000367,-29.0,0.0
91,14.0,0.002254999999991014,86.0,0.0
92,14.0,0.0017670000000862274,86.0,0.0
93,14.0,0.001890000000003056,86.0,0.0
94,71.0,0.00929200000007313,-367.0,0.0
95,16.0,0.0016859999999496722,84.0,0.0
96,20.0,0.0023410000000012587,80.0,0.0
97,18.0,0.0045780000000377186,82.0,0.0
98,26.0,0.005052999999975327,-25.0,0.0
99,14.0,0.003278999999906773,86.0,0.0
100,14.0,0.0026579999999967185,86.0,0.0
101,14.0,0.002384000000006381,86.0,0.0
102,14.0,0.0024080000000594737,86.0,0.0
103,15.0,0.003133000000048014,85.0,0.0
104,15.0,0.002894000000082997,85.0,0.0
105,27.0,0.004355000000032305,-26.0,0.0
106,16.0,0.002835000000004584,84.0,0.0
107,26.0,0.004615999999941778,-25.0,0.0
108,16.0,0.0028409999999894353,84.0,0.0
109,26.0,0.004713999999921725,-25.0,0.0
110,16.0,0.0034400000000687214,84.0,0.0
111,14.0,0.003528999999957705,86.0,0.0
112,16.0,0.003654999999980646,84.0,0.0
113,14.0,0.0025559999999131833,86.0,0.0
114,14.0,0.0025829999999587017,86.0,0.0
115,14.0,0.0021440000000438886,86.0,0.0
116,18.0,0.0019509999999627325,82.0,0.0
117,54.0,0.00920799999994415,-53.0,0.0
118,16.0,0.0029909999999517822,84.0,0.0
119,61.0,0.007786000000010063,-60.0,0.0
120,17.0,0.0029839999999694555,-16.0,0.0
121,16.0,0.003149000000007618,84.0,0.0
122,16.0,0.0027200000000675573,84.0,0.0
123,14.0,0.0019150000000536238,86.0,0.0
124,27.0,0.002621999999973923,-26.0,0.0
125,14.0,0.0014700000000402724,86.0,0.0
126,15.0,0.002959999999916363,85.0,0.0
127,14.0,0.0018770000000358777,86.0,0.0
128,17.0,0.002803000000085376,-16.0,0.0
129,20.0,0.0022200000000793807,-19.0,0.0
130,15.0,0.0017139999999926658,85.0,0.0
131,14.0,0.0018969999999853826,86.0,0.0
132,14.0,0.002028999999993175,86.0,0.0
133,16.0,0.0027760000000398577,84.0,0.0
134,14.0,0.002778000000034808,86.0,0.0
135,16.0,0.0029630000000224754,84.0,0.0
136,25.0,0.0038869999999633364,-24.0,0.0
137,14.0,0.0016149999999015563,86.0,0.0
138,19.0,0.001924000000030901,81.0,0.0
139,14.0,0.0015760000000000218,86.0,0.0
140,14.0,0.0020759999999881984,86.0,0.0
141,14.0,0.0015450000000782893,86.0,0.0
142,14.0,0.0026870000000371874,86.0,0.0
143,17.0,0.0026760000000649597,-16.0,0.0
144,14.0,0.0018760000000384025,86.0,0.0
145,14.0,0.0015990000000556392,86.0,0.0
146,14.0,0.0016850000000658838,86.0,0.0
147,14.0,0.002606000000014319,86.0,0.0
148,14.0,0.0017029999999067513,86.0,0.0
149,25.0,0.0024750000000040018,-24.0,0.0
150,16.0,0.0029549999999289867,84.0,0.0
151,18.0,0.0034450000000560976,82.0,0.0
152,14.0,0.0026460000000270156,86.0,0.0
153,18.0,0.0030179999999973006,82.0,0.0
154,16.0,0.002660000000105356,84.0,0.0
155,14.0,0.0021600000000034925,86.0,0.0
156,14.0,0.00261000000000422,86.0,0.0
157,16.0,0.002677000000062435,84.0,0.0
158,14.0,0.002635000000054788,86.0,0.0
159,14.0,0.0024900000000798173,86.0,0.0
160,14.0,0.0027620000000752043,86.0,0.0
161,14.0,0.0022740000000567306,86.0,0.0
162,16.0,0.0030389999999442807,84.0,0.0
163,17.0,0.002805999999964115,83.0,0.0
164,14.0,0.0028600000000551518,86.0,0.0
165,18.0,0.0032300000000304863,82.0,0.0
166,14.0,0.002777000000037333,86.0,0.0
167,14.0,0.00254199999994853,86.0,0.0
168,14.0,0.002583999999956177,86.0,0.0
169,14.0,0.0022689999999556676,86.0,0.0
170,14.0,0.0028409999999894353,86.0,0.0
171,14.0,0.0024399999999786814,86.0,0.0
172,14.0,0.0025579999999081338,86.0,0.0
173,14.0,0.0023909999999887077,86.0,0.0
174,16.0,0.0030389999999442807,84.0,0.0
175,14.0,0.0027109999999765932,86.0,0.0
176,14.0,0.0025540000000319196,86.0,0.0
177,14.0,0.0030369999999493302,86.0,0.0
178,14.0,0.0023370000000113578,86.0,0.0
179,14.0,0.0027659999999514184,86.0,0.0
180,14.0,0.0024690000000191503,86.0,0.0
181,14.0,0.002881000000002132,86.0,0.0
182,20.0,0.0032320000000254367,-19.0,0.0
183,18.0,0.0033980000000610744,82.0,0.0
184,18.0,0.003819000000021333,82.0,0.0
185,14.0,0.0028260000000273067,86.0,0.0
186,16.0,0.0033260000000154832,84.0,0.0
187,14.0,0.0029469999999491847,86.0,0.0
188,43.0,0.007519999999999527,-141.0,0.0
189,14.0,0.002969000000007327,86.0,0.0
190,14.0,0.0028120000000626533,86.0,0.0
191,14.0,0.002701000000001841,86.0,0.0
192,30.0,0.005021999999939908,-29.0,0.0
193,14.0,0.002681000000052336,86.0,0.0
194,16.0,0.0030169999999998254,84.0,0.0
195,14.0,0.0031390000000328655,86.0,0.0
196,14.0,0.0028590000000576765,86.0,0.0
197,18.0,0.0035090000000082,82.0,0.0
198,16.0,0.003083000000060565,84.0,0.0
199,18.0,0.0033260000000154832,82.0,0.0
200,14.0,0.0027660000000651053,86.0,0.0
201,16.0,0.0032509999999774664,84.0,0.0
202,14.0,0.0026309999999512,86.0,0.0
203,14.0,0.0028049999999666397,86.0,0.0
204,14.0,0.0024020000000746222,86.0,0.0
205,18.0,0.0029879999999593565,82.0,0.0
206,20.0,0.003860000000031505,-19.0,0.0
207,14.0,0.0027169999999614447,86.0,0.0
208,14.0,0.002406000000064523,86.0,0.0
209,35.0,0.006294000000025335,-34.0,0.0
210,15.0,0.0029829999999719803,85.0,0.0
211,16.0,0.002994000000057895,84.0,0.0
212,14.0,0.002654999999890606,86.0,0.0
213,16.0,0.0031759999999394495,84.0,0.0
214,15.0,0.0033399999999801366,85.0,0.0
215,14.0,0.0029140000000325017,86.0,0.0
216,14.0,0.0033490000000711007,86.0,0.0
217,14.0,0.002743000000009488,86.0,0.0
218,14.0,0.0025860000000648142,86.0,0.0
219,16.0,0.003164999999967222,84.0,0.0
220,14.0,0.002739000000019587,86.0,0.0
221,34.0,0.00620600000002014,-132.0,0.0
222,18.0,0.003921999999988657,82.0,0.0
223,32.0,0.005631999999991422,-31.0,0.0
224,14.0,0.002935999999976957,86.0,0.0
225,19.0,0.0036370000000260916,81.0,0.0
226,14.0,0.002778000000034808,86.0,0.0
227,14.0,0.00324599999999009,86.0,0.0
228,14.0,0.0040589999999838255,86.0,0.0
229,14.0,0.0032260000000405853,86.0,0.0
230,14.0,0.002693000000022039,86.0,0.0
231,14.0,0.00314499999990403,86.0,0.0
232,14.0,0.0031340000000454893,86.0,0.0
233,14.0,0.0023609999999507636,86.0,0.0
234,14.0,0.0023139999999557403,86.0,0.0
235,18.0,0.0030709999999771753,-17.0,0.0
236,14.0,0.0028720000000248547,86.0,0.0
237,14.0,0.0027819999999110223,86.0,0.0
238,14.0,0.003022999999984677,86.0,0.0
239,14.0,0.002345999999988635,86.0,0.0
240,15.0,0.002801999999974214,85.0,0.0
241,15.0,0.0017650000000912769,85.0,0.0
242,20.0,0.0035199999999804277,-19.0,0.0
243,17.0,0.0029180000000224027,83.0,0.0
244,18.0,0.002827000000024782,82.0,0.0
245,16.0,0.0020939999999427528,84.0,0.0
246,27.0,0.005370999999968262,-26.0,0.0
247,21.0,0.004196000000092681,-20.0,0.0
248,20.0,0.0024450000000797445,-19.0,0.0
249,111.0,0.01622199999997065,-209.0,0.0
250,14.0,0.002350999999976011,86.0,0.0
251,14.0,0.0017219999999724678,86.0,0.0
252,18.0,0.0019379999999955544,-17.0,0.0
253,14.0,0.0014809999998988133,86.0,0.0
254,20.0,0.0024399999999786814,-19.0,0.0
255,14.0,0.001688999999942098,86.0,0.0
256,14.0,0.0020309999999881256,86.0,0.0
257,14.0,0.0024789999999939027,86.0,0.0
258,27.0,0.0037660000000414584,-26.0,0.0
259,14.0,0.001538999999979751,86.0,0.0
260,16.0,0.0020929999999452775,84.0,0.0
261,14.0,0.0021179999999958454,86.0,0.0
262,18.0,0.0033030000000735527,82.0,0.0
263,14.0,0.002977999999984604,86.0,0.0
264,14.0,0.002530999999976302,86.0,0.0
265,19.0,0.001986999999985528,81.0,0.0
266,14.0,0.0014200000000528235,86.0,0.0
267,19.0,0.001906999999960135,81.0,0.0
268,14.0,0.0026619999999866195,86.0,0.0
269,19.0,0.002035999999975502,81.0,0.0
270,14.0,0.0014320000000225264,86.0,0.0
271,28.0,0.0034809999999652064,-27.0,0.0
272,14.0,0.001538999999979751,86.0,0.0
273,14.0,0.0018919999999980064,86.0,0.0
274,14.0,0.0018830000000207292,86.0,0.0
275,18.0,0.001997999999957756,82.0,0.0
276,14.0,0.002704999999991742,86.0,0.0
277,26.0,0.004047000000014123,-25.0,0.0
278,16.0,0.0030679999999847496,84.0,0.0
279,14.0,0.001602000000048065,86.0,0.0
280,14.0,0.001793999999904372,86.0,0.0
281,14.0,0.001498000000083266,86.0,0.0
282,14.0,0.0014190000000553482,86.0,0.0
283,14.0,0.0017799999999397187,86.0,0.0
284,15.0,0.001836000000025706,85.0,0.0
285,16.0,0.0028170000000500295,84.0,0.0
286,14.0,0.0025229999999965003,86.0,0.0
287,14.0,0.0017869999999220454,86.0,0.0
288,14.0,0.0015369999999848005,86.0,0.0
289,15.0,0.0015519999999469292,85.0,0.0
290,14.0,0.0024829999999838037,86.0,0.0
291,18.0,0.002045000000066466,82.0,0.0
292,14.0,0.0014760000000251239,86.0,0.0
293,14.0,0.0023149999999532156,86.0,0.0
294,25.0,0.004739999999969768,-24.0,0.0
295,14.0,0.0027260000000524087,86.0,0.0
296,14.0,0.002514000000019223,86.0,0.0
297,18.0,0.0020849999999654756,82.0,0.0
298,14.0,0.001488999999992302,86.0,0.0
299,14.0,0.0015130000000453947,86.0,0.0
300,16.0,0.0029389999999693828,84.0,0.0
301,15.0,0.0016399999999521242,85.0,0.0
302,15.0,0.001770000000078653,85.0,0.0
303,14.0,0.001560000000040418,86.0,0.0
304,14.0,0.0016410000000632863,86.0,0.0
305,14.0,0.0016920000000482105,86.0,0.0
306,14.0,0.0014939999999796783,86.0,0.0
307,14.0,0.0021600000000034925,86.0,0.0
308,14.0,0.0026830000000472864,86.0,0.0
309,14.0,0.0024580000000469227,86.0,0.0
310,14.0,0.002172000000086882,86.0,0.0
311,14.0,0.0033950000000686487,86.0,0.0
312,15.0,0.0016040000000430155,85.0,0.0
313,14.0,0.0019139999999424617,86.0,0.0
314,14.0,0.0014419999999972788,86.0,0.0
315,14.0,0.0013770000000477012,86.0,0.0
316,21.0,0.0025120000000242726,-119.0,0.0
317,14.0,0.0015240000000176224,86.0,0.0
318,14.0,0.002223999999955595,86.0,0.0
319,20.0,0.00301600000000235,-19.0,0.0
320,14.0,0.0015129999999317079,86.0,0.0
321,16.0,0.0017699999999649663,84.0,0.0
322,14.0,0.0014670000000478467,86.0,0.0
323,14.0,0.002588999999943553,86.0,0.0
324,14.0,0.001936000000000604,86.0,0.0
325,14.0,0.001527000000010048,86.0,0.0
