step,reward,mean,median,std,max,min
0,5.733333333333333,5.733333333333333,5.733333333333333,0.0,5.733333333333333,5.733333333333333
1,-1.0,2.3666666666666667,2.3666666666666667,3.3666666666666667,5.733333333333333,-1.0
2,-1.0,1.2444444444444445,-1.0,3.17412377332628,5.733333333333333,-1.0
3,-1.0,0.6833333333333333,-1.0,2.91561885940761,5.733333333333333,-1.0
4,5.733333333333333,1.6933333333333334,-1.0,3.298646186948013,5.733333333333333,-1.0
5,5.733333333333333,2.3666666666666667,2.3666666666666667,3.3666666666666667,5.733333333333333,-1.0
6,-1.0,1.8857142857142857,-1.0,3.3321358393229827,5.733333333333333,-1.0
7,-1.0,1.525,-1.0,3.2597609830579097,5.733333333333333,-1.0
8,-1.0,1.2444444444444445,-1.0,3.17412377332628,5.733333333333333,-1.0
9,-1.0,1.02,-1.0,3.085600967936932,5.733333333333333,-1.0
10,-1.0,0.8363636363636363,-1.0,2.9987692608618306,5.733333333333333,-1.0
11,-1.0,0.6833333333333332,-1.0,2.91561885940761,5.733333333333333,-1.0
12,-1.0,0.5538461538461538,-1.0,2.836921964513937,5.733333333333333,-1.0
13,-1.0,0.4428571428571428,-1.0,2.762861082382576,5.733333333333333,-1.0
14,5.733333333333333,0.7955555555555556,-1.0,2.977592034007959,5.733333333333333,-1.0
15,-1.0,0.6833333333333333,-1.0,2.91561885940761,5.733333333333333,-1.0
16,-1.0,0.5843137254901961,-1.0,2.856162186838141,5.733333333333333,-1.0
17,5.733333333333333,0.8703703703703705,-1.0,3.0158816021413095,5.733333333333333,-1.0
18,5.733333333333333,1.1263157894736844,-1.0,3.1298520964881145,5.733333333333333,-1.0
19,-1.0,1.02,-1.0,3.085600967936932,5.733333333333333,-1.0
20,-1.0,0.9238095238095239,-1.0,3.0418099397810123,5.733333333333333,-1.0
21,5.733333333333333,1.1424242424242426,-1.0,3.1361879617027864,5.733333333333333,-1.0
22,5.733333333333333,1.3420289855072465,-1.0,3.2069552642331467,5.733333333333333,-1.0
23,-1.0,1.2444444444444442,-1.0,3.17412377332628,5.733333333333333,-1.0
24,5.733333333333333,1.4239999999999997,-1.0,3.232,5.733333333333333,-1.0
25,-1.0,1.3307692307692305,-1.0,3.203335909133721,5.733333333333333,-1.0
26,5.733333333333333,1.493827160493827,-1.0,3.2515528045702102,5.733333333333333,-1.0
27,-1.0,1.4047619047619047,-1.0,3.2263266532496964,5.733333333333333,-1.0
28,-1.0,1.32183908045977,-1.0,3.20043430795658,5.733333333333333,-1.0
29,-1.0,1.2444444444444442,-1.0,3.1741237733262806,5.733333333333333,-1.0
30,-1.0,1.172043010752688,-1.0,3.1475893577744793,5.733333333333333,-1.0
31,5.733333333333333,1.3145833333333332,-1.0,3.198056457313827,5.733333333333333,-1.0
32,-1.0,1.2444444444444442,-1.0,3.17412377332628,5.733333333333333,-1.0
33,5.733333333333333,1.3764705882352941,-1.0,3.2177563877185573,5.733333333333333,-1.0
34,-1.0,1.3085714285714285,-1.0,3.19607241963705,5.733333333333333,-1.0
35,5.733333333333333,1.4314814814814814,-1.0,3.2341727093423125,5.733333333333333,-1.0
36,5.733333333333333,1.5477477477477477,-1.0,3.2655499152028153,5.733333333333333,-1.0
37,5.733333333333333,1.6578947368421053,-1.0,3.2912135749503113,5.733333333333333,-1.0
38,-1.0,1.5897435897435896,-1.0,3.275795319764167,5.733333333333333,-1.0
39,-1.0,1.525,-1.0,3.2597609830579097,5.733333333333333,-1.0
40,-1.0,1.4634146341463412,-1.0,3.2432360706850107,5.733333333333333,-1.0
41,-1.0,1.4047619047619047,-1.0,3.226326653249697,5.733333333333333,-1.0
42,-1.0,1.3488372093023253,-1.0,3.2091225654633155,5.733333333333333,-1.0
43,-1.0,1.2954545454545452,-1.0,3.191700022842478,5.733333333333333,-1.0
44,-1.0,1.2444444444444442,-1.0,3.17412377332628,5.733333333333333,-1.0
45,-1.0,1.1956521739130432,-1.0,3.1564488752719275,5.733333333333333,-1.0
46,-1.0,1.1489361702127658,-1.0,3.1387221735047817,5.733333333333333,-1.0
47,-1.0,1.1041666666666667,-1.0,3.1209835299860917,5.733333333333333,-1.0
48,-1.0,1.0612244897959184,-1.0,3.103266854025191,5.733333333333333,-1.0
49,-1.0,1.02,-1.0,3.085600967936932,5.733333333333333,-1.0
50,5.733333333333333,1.1124183006535948,-1.0,3.124308800486594,5.733333333333333,-1.0
51,-1.0,1.0717948717948718,-1.0,3.1076923076923078,5.733333333333333,-1.0
52,5.733333333333333,1.159748427672956,-1.0,3.1428956089613864,5.733333333333333,-1.0
53,-1.0,1.1197530864197531,-1.0,3.1272433496356293,5.733333333333333,-1.0
54,5.733333333333333,1.2036363636363636,-1.0,3.1593994617138375,5.733333333333333,-1.0
55,5.733333333333333,1.2845238095238096,-1.0,3.1880105522377336,5.733333333333333,-1.0
56,5.733333333333333,1.3625730994152048,-1.0,3.2134468336427595,5.733333333333333,-1.0
57,-1.0,1.3218390804597702,-1.0,3.2004343079565802,5.733333333333333,-1.0
58,5.733333333333333,1.3966101694915256,-1.0,3.2238850532754326,5.733333333333333,-1.0
59,-1.0,1.3566666666666667,-1.0,3.211595311437051,5.733333333333333,-1.0
60,-1.0,1.318032786885246,-1.0,3.1991891833117667,5.733333333333333,-1.0
61,-1.0,1.2806451612903227,-1.0,3.186691345942457,5.733333333333333,-1.0
62,-1.0,1.2444444444444445,-1.0,3.1741237733262793,5.733333333333333,-1.0
63,-1.0,1.2093749999999999,-1.0,3.1615060402770596,5.733333333333333,-1.0
64,5.733333333333333,1.278974358974359,-1.0,3.186121449071179,5.733333333333333,-1.0
65,-1.0,1.2444444444444442,-1.0,3.17412377332628,5.733333333333333,-1.0
66,-1.0,1.2109452736318407,-1.0,3.1620804079159797,5.733333333333333,-1.0
67,-1.0,1.1784313725490194,-1.0,3.150006560351517,5.733333333333333,-1.0
68,-1.0,1.1468599033816425,-1.0,3.1379158536660214,5.733333333333333,-1.0
69,-1.0,1.1161904761904762,-1.0,3.125820490926598,5.733333333333333,-1.0
70,5.733333333333333,1.1812206572769952,-1.0,3.15105731513512,5.733333333333333,-1.0
71,-1.0,1.150925925925926,-1.0,3.139493413872308,5.733333333333333,-1.0
72,-1.0,1.1214611872146119,-1.0,3.127923873496128,5.733333333333333,-1.0
73,5.733333333333333,1.1837837837837837,-1.0,3.152020388548768,5.733333333333333,-1.0
74,-1.0,1.1546666666666665,-1.0,3.1409394206900014,5.733333333333333,-1.0
75,5.733333333333333,1.2149122807017543,-1.0,3.1635275056264387,5.733333333333333,-1.0
76,5.733333333333333,1.2735930735930736,-1.0,3.1842792849512476,5.733333333333333,-1.0
77,-1.0,1.2444444444444445,-1.0,3.1741237733262793,5.733333333333333,-1.0
78,-1.0,1.2160337552742615,-1.0,3.163935578937265,5.733333333333333,-1.0
79,-1.0,1.1883333333333332,-1.0,3.153723989191191,5.733333333333333,-1.0
80,5.733333333333333,1.2444444444444445,-1.0,3.17412377332628,5.733333333333333,-1.0
81,-1.0,1.2170731707317073,-1.0,3.164313391329703,5.733333333333333,-1.0
82,-1.0,1.1903614457831324,-1.0,3.1544810146467173,5.733333333333333,-1.0
83,5.733333333333333,1.2444444444444445,-1.0,3.17412377332628,5.733333333333333,-1.0
84,-1.0,1.2180392156862745,-1.0,3.1646641880772646,5.733333333333333,-1.0
85,-1.0,1.1922480620155038,-1.0,3.1551838909156564,5.733333333333333,-1.0
86,5.733333333333333,1.2444444444444445,-1.0,3.1741237733262797,5.733333333333333,-1.0
87,5.733333333333333,1.2954545454545454,-1.0,3.1917000228424772,5.733333333333333,-1.0
88,-1.0,1.2696629213483146,-1.0,3.182927461819064,5.733333333333333,-1.0
89,5.733333333333333,1.3192592592592594,-1.0,3.199590937503189,5.733333333333333,-1.0
90,5.733333333333333,1.3677655677655678,-1.0,3.2150647021574263,5.733333333333333,-1.0
91,5.733333333333333,1.4152173913043478,-1.0,3.229425447483958,5.733333333333333,-1.0
92,5.733333333333333,1.461648745519713,-1.0,3.2427437467131583,5.733333333333333,-1.0
93,5.733333333333333,1.50709219858156,-1.0,3.2550846652983774,5.733333333333333,-1.0
94,5.733333333333333,1.5515789473684205,-1.0,3.266508296988335,5.733333333333333,-1.0
95,5.733333333333333,1.5951388888888889,-1.0,3.2770702361349735,5.733333333333333,-1.0
96,-1.0,1.568384879725086,-1.0,3.2706559943047817,5.733333333333333,-1.0
97,5.733333333333333,1.6108843537414963,-1.0,3.280737346986791,5.733333333333333,-1.0
98,5.733333333333333,1.6525252525252523,-1.0,3.2900526568814286,5.733333333333333,-1.0
99,5.733333333333333,1.693333333333333,-1.0,3.2986461869480133,5.733333333333333,-1.0
