episode,length,time,reward,delta
0,500.0,0.10139900000012858,-3867.0,-10.101536954784379
1,500.0,0.09734700000035446,-4065.0,-1.0
2,392.0,0.06988099999989572,-2965.0,100.0
3,408.0,0.07412500000009459,-2585.0,10.0
4,32.0,0.006019999999807624,68.0,1.0
5,157.0,0.02112200000010489,-1146.0,0.09999999999999432
6,256.0,0.04377799999974741,-1542.0,0.010000000000005116
7,72.0,0.012191999999686232,-71.0,0.0010000000000047748
8,345.0,0.05354799999986426,-2324.0,0.00010000000000331966
9,15.0,0.002862000000277476,85.0,1.0000000003174137e-05
10,22.0,0.003987000000051921,78.0,9.999999974752427e-07
11,75.0,0.017651999999998225,-371.0,9.999999406318238e-08
12,176.0,0.03951899999992747,-1363.0,9.999993721976352e-09
13,16.0,0.0040119999998751155,84.0,1.0000036354540498e-09
14,45.0,0.009226999999555119,-143.0,1.000017846308765e-10
15,24.0,0.00554599999986749,-23.0,1.000444171950221e-11
16,117.0,0.020888000000013562,-1106.0,9.947598300641403e-13
17,37.0,0.007199000000127853,-135.0,9.947598300641403e-14
18,36.0,0.007485000000087894,-233.0,1.4210854715202004e-14
19,33.0,0.007775999999921623,-131.0,0.0
20,83.0,0.019213000000036118,-577.0,0.0
21,55.0,0.011387000000013359,-252.0,0.0
22,33.0,0.007691000000249915,67.0,0.0
23,23.0,0.005331000000296626,-22.0,0.0
24,20.0,0.0035469999997985724,80.0,0.0
25,24.0,0.00546200000007957,76.0,0.0
26,17.0,0.0036259999997128034,83.0,0.0
27,56.0,0.013240999999652558,-154.0,0.0
28,33.0,0.008183999999801017,67.0,0.0
29,49.0,0.010073000000375032,-444.0,0.0
30,70.0,0.014237000000321132,-366.0,0.0
31,18.0,0.00369700000010198,82.0,0.0
32,29.0,0.0062840000000505825,-28.0,0.0
33,20.0,0.0037549999997281702,80.0,0.0
34,18.0,0.0030959999999140564,82.0,0.0
35,21.0,0.004268000000138272,79.0,0.0
36,76.0,0.015879000000040833,-471.0,0.0
37,38.0,0.0074890000000777945,-136.0,0.0
38,57.0,0.012597999999798049,-155.0,0.0
39,64.0,0.015084000000115338,-261.0,0.0
40,27.0,0.007456999999703839,73.0,0.0
41,41.0,0.008888999999726366,-40.0,0.0
42,88.0,0.019179000000349333,-483.0,0.0
43,71.0,0.015141999999741529,-664.0,0.0
44,22.0,0.0048220000003311725,-21.0,0.0
45,23.0,0.006497999999737658,77.0,0.0
46,31.0,0.0067229999999653955,-129.0,0.0
47,22.0,0.004482999999709136,78.0,0.0
48,28.0,0.005920000000060099,72.0,0.0
49,17.0,0.004042999999910535,83.0,0.0
50,23.0,0.005651000000398199,77.0,0.0
51,59.0,0.012995999999930063,-355.0,0.0
52,45.0,0.008760000000165746,-143.0,0.0
53,35.0,0.008088000000043394,65.0,0.0
