params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",63.36875499999999,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",11.579010000000011,100,5.345176470588237,5.733333333333333,4.9411764705882355,5.733333333333333,0.39599920776312114
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",7.94658299999999,100,2.0973333333333333,-1.0,-1.0,5.733333333333333,3.3558760406189014
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",6.990037000000001,100,2.501333333333333,5.733333333333333,-1.0,5.733333333333333,3.3639722551372704
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",6.6443769999999915,100,2.366666666666666,2.3666666666666667,-1.0,5.733333333333333,3.3666666666666667
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",6.942668999999995,100,1.8279999999999998,-1.0,-1.0,5.733333333333333,3.3232939482788253
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",7.256396000000024,100,2.7033333333333336,5.733333333333333,-1.0,5.733333333333333,3.349791038258954
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",7.071022999999997,100,2.4339999999999997,5.733333333333333,-1.0,5.733333333333333,3.3659932659865297
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",6.799847,100,2.838,5.733333333333333,-1.0,5.733333333333333,3.3335100619817144
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",6.800233999999989,100,1.289333333333333,-1.0,-1.0,5.733333333333333,3.1896390600400757
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",64.10371900000001,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",8.198206999999996,100,2.972666666666667,5.733333333333333,-1.0,5.733333333333333,3.3116775876350713
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",7.223420000000004,100,2.838,5.733333333333333,-1.0,5.733333333333333,3.3335100619817144
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",6.889133000000015,100,2.2319999999999998,-1.0,-1.0,5.733333333333333,3.3639722551372704
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",6.73849899999999,100,2.636,5.733333333333333,-1.0,5.733333333333333,3.3558760406189014
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",6.533950000000004,100,2.7033333333333336,5.733333333333333,-1.0,5.733333333333333,3.349791038258954
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",6.426004999999975,100,2.5686666666666667,5.733333333333333,-1.0,5.733333333333333,3.3606012028273224
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",6.371938,100,2.8379999999999996,5.733333333333333,-1.0,5.733333333333333,3.3335100619817153
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",7.451779999999985,100,2.4339999999999997,5.733333333333333,-1.0,5.733333333333333,3.3659932659865297
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",7.338840000000005,100,2.3666666666666667,2.3666666666666667,-1.0,5.733333333333333,3.3666666666666667
