steps,time,reward,delta,converged
1,0.07495099999999866,-15.714412322305447,0.24137665090467644,False
2,0.07977800000000457,-11.330139731090274,0.0007548500829114707,False
3,0.08010600000000068,-11.329694703371569,5.028088256621432e-07,False
4,0.08113199999999665,-11.329696927161494,5.028077171391476e-07,False
5,0.0834909999999951,-11.32969653659232,5.028082675634371e-07,False
6,0.07293300000000613,-11.32969579605042,5.02807892162338e-07,False
7,0.08000199999999325,-11.329696087445965,5.028083368691094e-07,False
8,0.08035999999999888,-11.329696570450944,5.028076750721033e-07,False
9,0.07654099999999175,-11.329696176127328,5.028077105229123e-07,False
10,0.07840000000000202,-11.329695689355942,5.028077361794725e-07,False
11,0.07417599999999425,-11.329695703996645,5.028083120764415e-07,False
12,0.07773699999999906,-11.329696107208806,5.028076754468036e-07,False
13,0.08098300000000336,-11.329696394240132,5.028073649451792e-07,False
14,0.11097300000000132,-11.329695599577374,5.028081068308987e-07,True
