params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",34.964741000000004,100,-0.019999999999999997,-0.02,-0.02,-0.02,3.469446951953614e-18
"{""discount_factor"": 0.1}",33.720245999999996,100,-0.019999999999999997,-0.02,-0.02,-0.02,3.469446951953614e-18
"{""discount_factor"": 0.2}",30.757603000000003,100,-0.019999999999999997,-0.02,-0.02,-0.02,3.469446951953614e-18
"{""discount_factor"": 0.3}",31.167459000000008,100,-0.019999999999999997,-0.02,-0.02,-0.02,3.469446951953614e-18
"{""discount_factor"": 0.4}",30.878208,100,-0.019999999999999997,-0.02,-0.02,-0.02,3.469446951953614e-18
"{""discount_factor"": 0.5}",148.15190300000003,100,-0.019999999999999997,-0.02,-0.02,-0.02,3.469446951953614e-18
"{""discount_factor"": 0.6}",181.778576,100,-0.019999999999999997,-0.02,-0.02,-0.02,3.469446951953614e-18
"{""discount_factor"": 0.7}",228.46801699999997,100,-0.019999999999999997,-0.02,-0.02,-0.02,3.469446951953614e-18
"{""discount_factor"": 0.8}",37.884058000000095,100,-0.019999999999999997,-0.02,-0.02,-0.02,3.469446951953614e-18
"{""discount_factor"": 0.9}",19.692931000000044,100,-0.01304419556470054,-0.013221918050158953,-0.016964285714285713,-0.007857142857142856,0.002024746176258546
