step,reward,mean,median,std,max,min
0,-0.02,-0.02,-0.02,0.0,-0.02,-0.02
1,-0.02,-0.02,-0.02,0.0,-0.02,-0.02
2,-0.02,-0.02,-0.02,0.0,-0.02,-0.02
3,-0.02,-0.02,-0.02,0.0,-0.02,-0.02
4,-0.02,-0.02,-0.02,0.0,-0.02,-0.02
5,-0.018421052631578946,-0.01973684210526316,-0.02,0.0005884389414473138,-0.018421052631578946,-0.02
6,-0.01890909090909091,-0.019618591934381407,-0.02,0.0006170034324099314,-0.018421052631578946,-0.02
7,-0.02,-0.019666267942583734,-0.02,0.0005907771097983475,-0.018421052631578946,-0.02
8,-0.02,-0.019703349282296653,-0.02,0.0005667786754052003,-0.018421052631578946,-0.02
9,-0.02,-0.019733014354066984,-0.02,0.0005450086316315716,-0.018421052631578946,-0.02
10,-0.02,-0.019757285776424532,-0.02,0.0005252830664843834,-0.018421052631578946,-0.02
11,-0.02,-0.019777511961722487,-0.02,0.000507374476328297,-0.018421052631578946,-0.02
12,-0.02,-0.019794626426205372,-0.02,0.0004910616030836874,-0.018421052631578946,-0.02
13,-0.02,-0.019809295967190704,-0.02,0.0004761456142111859,-0.018421052631578946,-0.02
14,-0.01743718592964824,-0.01965115529802121,-0.02,0.0007494791082071478,-0.01743718592964824,-0.02
15,-0.02,-0.01967295809189488,-0.02,0.0007305764351503642,-0.01743718592964824,-0.02
16,-0.02,-0.019692195851195183,-0.02,0.0007129283314240364,-0.01743718592964824,-0.02
17,-0.02,-0.01970929608168434,-0.02,0.0006964200348860116,-0.01743718592964824,-0.02
18,-0.02,-0.019724596287911483,-0.02,0.0006809465744579465,-0.01743718592964824,-0.02
19,-0.018797169811320753,-0.019678224964081944,-0.02,0.0006938007777475329,-0.01743718592964824,-0.02
20,-0.018887677208287896,-0.019640579832853656,-0.02,0.0006976967503437068,-0.01743718592964824,-0.02
21,-0.02,-0.01965691711317849,-0.02,0.0006857546199350551,-0.01743718592964824,-0.02
22,-0.02,-0.0196718337604316,-0.02,0.0006743207530415642,-0.01743718592964824,-0.02
23,-0.02,-0.01968550735374695,-0.02,0.0006633720946387997,-0.01743718592964824,-0.02
24,-0.02,-0.01969808705959707,-0.02,0.0006528843775817156,-0.01743718592964824,-0.02
25,-0.02,-0.019709699095766416,-0.02,0.0006428331480448154,-0.01743718592964824,-0.02
26,-0.02,-0.0197204509811084,-0.02,0.0006331944056635383,-0.01743718592964824,-0.02
27,-0.02,-0.019730434874640244,-0.02,0.0006239449913121621,-0.01743718592964824,-0.02
28,-0.02,-0.01973973022379058,-0.02,0.000615062809127715,-0.01743718592964824,-0.02
29,-0.02,-0.019748405882997564,-0.02,0.000606526939784157,-0.01743718592964824,-0.02
30,-0.013855421686746987,-0.019558309618602384,-0.02,0.001200044035696459,-0.013855421686746987,-0.02
31,-0.02,-0.019572112443021056,-0.02,0.001183642024301574,-0.013855421686746987,-0.02
32,-0.02,-0.01958507873262648,-0.02,0.0011678756910500046,-0.013855421686746987,-0.02
33,-0.02,-0.019597282299313935,-0.02,0.0011527066092764248,-0.013855421686746987,-0.02
34,-0.018899676375404528,-0.019577350701487955,-0.02,0.0011420489799944394,-0.013855421686746987,-0.02
35,-0.02,-0.019589090959779957,-0.02,0.0011282154783639903,-0.013855421686746987,-0.02
36,-0.017665903890160182,-0.019537112930871313,-0.02,0.0011557378711732921,-0.013855421686746987,-0.02
37,-0.02,-0.019549294169532595,-0.02,0.0011428339301799238,-0.013855421686746987,-0.02
38,-0.02,-0.019560850729288173,-0.02,0.0011303342372902877,-0.013855421686746987,-0.02
39,-0.02,-0.019571829461055963,-0.02,0.0011182195089913202,-0.013855421686746987,-0.02
40,-0.01875761266747868,-0.01955197051487115,-0.02,0.0011116168658157626,-0.013855421686746987,-0.02
41,-0.018661417322834644,-0.01953076686744171,-0.02,0.0011066635433434882,-0.013855421686746987,-0.02
42,-0.018253424657534247,-0.01950106123465316,-0.02,0.0011105334480322612,-0.013855421686746987,-0.02
43,-0.017926829268292685,-0.0194652832354177,-0.02,0.0011226300147356336,-0.013855421686746987,-0.02
44,-0.02,-0.019477165830186195,-0.02,0.0011128810138559828,-0.013855421686746987,-0.02
45,-0.02,-0.019488531790399537,-0.02,0.0011033555524123653,-0.013855421686746987,-0.02
46,-0.018675324675324675,-0.01947122951135539,-0.02,0.0010978444579147646,-0.013855421686746987,-0.02
47,-0.02,-0.019482245563202154,-0.02,0.0010889703526911058,-0.013855421686746987,-0.02
48,-0.02,-0.019492811980279662,-0.02,0.001080284424390265,-0.013855421686746987,-0.02
49,-0.02,-0.01950295574067407,-0.02,0.001071781715976075,-0.013855421686746987,-0.02
50,-0.018731343283582086,-0.019487826084652656,-0.02,0.0010666009221887902,-0.013855421686746987,-0.02
51,-0.02,-0.019497675583024718,-0.02,0.0010586347462591189,-0.013855421686746987,-0.02
52,-0.01847076461769115,-0.01947829990443352,-0.02,0.001057867563002901,-0.013855421686746987,-0.02
53,-0.02,-0.01948796101731438,-0.02,0.001050384155223845,-0.013855421686746987,-0.02
54,-0.018413685847589425,-0.0194684287415012,-0.02,0.0010506418408228549,-0.013855421686746987,-0.02
55,-0.02,-0.019477921085402965,-0.02,0.0010435959246286718,-0.013855421686746987,-0.02
56,-0.016330935251798562,-0.01942271080762043,-0.02,0.0011138596662163402,-0.013855421686746987,-0.02
57,-0.02,-0.01943266406955801,-0.02,0.0011067696719736367,-0.013855421686746987,-0.02
58,-0.02,-0.01944227993278584,-0.02,0.0010997910651165054,-0.013855421686746987,-0.02
59,-0.018423493044822253,-0.01942530015131978,-0.02,0.0010983587056153693,-0.013855421686746987,-0.02
60,-0.02,-0.01943472146031454,-0.02,0.001091760319154373,-0.013855421686746987,-0.02
61,-0.02,-0.019443838856115916,-0.02,0.001085258719135733,-0.013855421686746987,-0.02
62,-0.02,-0.019452666810780745,-0.02,0.001078852768653182,-0.013855421686746987,-0.02
63,-0.02,-0.019461218891862295,-0.02,0.001072541232142573,-0.013855421686746987,-0.02
64,-0.02,-0.01946950783198749,-0.02,0.0010663227943622838,-0.013855421686746987,-0.02
65,-0.01835483870967742,-0.019452618905891884,-0.02,0.001066937995580514,-0.013855421686746987,-0.02
66,-0.02,-0.019460788772968123,-0.02,0.0010610238320412765,-0.013855421686746987,-0.02
67,-0.02,-0.01946871834983624,-0.02,0.0010551914264941144,-0.013855421686746987,-0.02
68,-0.017043478260869563,-0.019433569942749765,-0.02,0.0010868763547691046,-0.013855421686746987,-0.02
69,-0.02,-0.019441661800710483,-0.02,0.0010811764364178542,-0.013855421686746987,-0.02
70,-0.02,-0.019449525719010336,-0.02,0.0010755498095168152,-0.013855421686746987,-0.02
71,-0.02,-0.019457171195135195,-0.02,0.001069995704699492,-0.013855421686746987,-0.02
72,-0.02,-0.01946460720616074,-0.02,0.0010645132968010729,-0.013855421686746987,-0.02
73,-0.017718120805369126,-0.019441006038582474,-0.02,0.001076353707322632,-0.013855421686746987,-0.02
74,-0.02,-0.019448459291401377,-0.02,0.0010710746526571867,-0.013855421686746987,-0.02
75,-0.02,-0.0194557164059882,-0.02,0.0010658593205192734,-0.013855421686746987,-0.02
76,-0.01884090909090909,-0.019447731895402758,-0.02,0.001061200875910962,-0.013855421686746987,-0.02
77,-0.02,-0.01945481225571811,-0.02,0.001056205301453353,-0.013855421686746987,-0.02
78,-0.02,-0.01946171336640522,-0.02,0.0010512674634884378,-0.013855421686746987,-0.02
79,-0.02,-0.01946844194932515,-0.02,0.0010463868172013498,-0.013855421686746987,-0.02
80,-0.02,-0.019475004394395208,-0.02,0.001041562782006495,-0.013855421686746987,-0.02
81,-0.02,-0.019481406779829416,-0.02,0.001036794747071037,-0.013855421686746987,-0.02
82,-0.018812572759022116,-0.019473348538614866,-0.02,0.0010331103104245245,-0.013855421686746987,-0.02
83,-0.02,-0.019479618198869453,-0.02,0.0010285297160845704,-0.013855421686746987,-0.02
84,-0.01877551020408163,-0.019471334575401362,-0.02,0.0010252764284919974,-0.013855421686746987,-0.02
85,-0.02,-0.019477481847780417,-0.02,0.0010208724975657914,-0.013855421686746987,-0.02
86,-0.02,-0.019483487803553055,-0.02,0.001016515478333122,-0.013855421686746987,-0.02
87,-0.02,-0.01948935726033086,-0.02,0.0010122049325503076,-0.013855421686746987,-0.02
88,-0.02,-0.019495094819203546,-0.02,0.001007940400898595,-0.013855421686746987,-0.02
89,-0.018718592964824116,-0.019486467020821553,-0.02,0.001005624507100903,-0.013855421686746987,-0.02
90,-0.02,-0.019492110240372965,-0.02,0.0010015157555103614,-0.013855421686746987,-0.02
91,-0.02,-0.01949763078123848,-0.02,0.0009974490548093737,-0.013855421686746987,-0.02
92,-0.01888157894736842,-0.019491006567971057,-0.02,0.000994104469541888,-0.013855421686746987,-0.02
93,-0.02,-0.019496421391716045,-0.02,0.000990180415356913,-0.013855421686746987,-0.02
94,-0.02,-0.019501722219171666,-0.02,0.000986295055657169,-0.013855421686746987,-0.02
95,-0.02,-0.019506912612721958,-0.02,0.0009824480397964876,-0.013855421686746987,-0.02
96,-0.02,-0.019511995987848536,-0.02,0.0009786390039745506,-0.013855421686746987,-0.02
97,-0.02,-0.01951697562062559,-0.02,0.0009748675731356209,-0.013855421686746987,-0.02
98,-0.018477611940298507,-0.019506476997591986,-0.02,0.0009754838732874222,-0.013855421686746987,-0.02
99,-0.0176056338028169,-0.019487468565644234,-0.02,0.000988849749557287,-0.013855421686746987,-0.02
