steps,time,reward,delta,converged
1,0.03663400000004913,-0.02427947598253271,1.0,False
2,0.003313999999591033,-0.07444444444444445,1.0,False
3,0.008189000000129454,-0.03781818181818183,1.0,False
4,0.003469000001132372,-0.069,1.0,False
5,0.010871000000406639,-0.032894736842105275,1.0,False
6,0.003351999999722466,-0.069,1.0,False
7,0.005064999999376596,-0.05161290322580645,1.0,False
8,0.027195999999094056,-0.025157894736842122,1.0,False
9,0.0173110000014276,-0.028235294117647074,1.0,False
10,0.020978999998988,-0.02624203821656053,1.0,False
11,0.01605600000038976,-0.027840000000000014,1.0,False
12,0.0038870000007591443,-0.05379310344827586,1.0,False
13,0.004349999999249121,-0.0496969696969697,1.0,False
14,0.004541999998764368,-0.0496969696969697,1.0,False
15,0.0023330000003625173,-0.08125,1.0,False
16,0.002786000000924105,-0.069,1.0,False
17,0.008096999999906984,-0.036610169491525436,1.0,False
18,0.015625,-0.028235294117647074,1.0,False
19,0.00623499999892374,-0.04130434782608696,1.0,False
20,0.02451699999983248,-0.02482758620689656,1.0,False
21,0.006360999999742489,-0.03484848484848486,1.0,False
22,0.0029590000012831297,-0.05266666666666667,1.0,False
23,0.020074000000022352,-0.026712328767123303,1.0,False
24,0.015117999999347376,-0.026712328767123303,1.0,False
25,0.004433000000062748,-0.05379310344827586,1.0,False
26,0.016147000000273692,-0.02867256637168143,1.0,False
27,0.0029059999997116392,-0.056296296296296296,1.0,False
28,0.013071000001218636,-0.02771653543307088,1.0,False
29,0.00993200000084471,-0.032098765432098775,1.0,False
30,0.012086000000635977,-0.028099173553719024,1.0,False
31,0.006574999999429565,-0.03555555555555557,1.0,False
32,0.02093099999910919,-0.025568181818181834,1.0,False
33,0.011500000000523869,-0.029702970297029715,1.0,False
34,0.009600000001228182,-0.03306666666666668,1.0,False
35,0.010202000001299893,-0.031264367816091966,1.0,False
36,0.0026269999998476123,-0.07764705882352942,1.0,False
37,0.011602999999013264,-0.028521739130434796,1.0,False
38,0.006127000000560656,-0.036610169491525436,1.0,False
39,0.007875000001149601,-0.032894736842105275,1.0,False
40,0.004552000000330736,-0.042790697674418614,1.0,False
41,0.004290999999284395,-0.044500000000000005,1.0,False
42,0.023699999999735155,-0.024688995215311,1.0,False
43,0.024788000000626198,-0.024622641509433954,1.0,False
44,0.021931999999651453,-0.02466666666666666,1.0,False
45,0.013149000000339583,-0.027777777777777794,1.0,False
46,0.02116099999875587,-0.024851485148514863,1.0,False
47,0.014161999999487307,-0.027259259259259275,1.0,False
48,0.010049000000435626,-0.031264367816091966,1.0,False
49,0.018741999998383108,-0.025536723163841826,1.0,False
50,0.0049099999996542465,-0.04648648648648649,1.0,False
51,0.014737999999852036,-0.027480916030534364,1.0,False
52,0.003364000000146916,-0.05266666666666667,1.0,False
53,0.008384000000660308,-0.032894736842105275,1.0,False
54,0.0039259999994101236,-0.05379310344827586,1.0,False
55,0.017726000000038766,-0.025975609756097577,1.0,False
56,0.010185000001001754,-0.030315789473684223,1.0,False
57,0.021545999999943888,-0.024900000000000016,1.0,False
58,0.011080999998739571,-0.030208333333333347,1.0,False
59,0.013780000001133885,-0.027840000000000014,1.0,False
60,0.012042000000292319,-0.029800000000000014,1.0,False
61,0.0030650000007881317,-0.05379310344827586,1.0,False
62,0.023796999999831314,-0.025568181818181834,1.0,False
63,0.002409000000625383,-0.08125,1.0,False
64,0.013668000001416658,-0.027480916030534364,1.0,False
65,0.014337000000523403,-0.02680555555555557,1.0,False
66,0.0056970000005094334,-0.03750000000000001,1.0,False
67,0.019095999999990454,-0.025474860335195543,1.0,False
68,0.02010800000061863,-0.025568181818181834,1.0,False
69,0.009482999999818276,-0.031951219512195136,1.0,False
70,0.015897999999651802,-0.027424242424242438,1.0,False
71,0.018219999999928405,-0.028750000000000015,1.0,False
72,0.015701999998782412,-0.028032786885245915,1.0,False
73,0.03396400000019639,-0.023192182410423316,1.0,False
74,0.008487999999488238,-0.03921568627450981,1.0,False
75,0.005079000000478118,-0.03849056603773586,1.0,False
76,0.015221999999994296,-0.030888888888888903,1.0,False
77,0.023285999999643536,-0.025568181818181834,1.0,False
78,0.010157999999137246,-0.03606557377049181,1.0,False
79,0.013132000000041444,-0.032250000000000015,1.0,False
80,0.02066000000013446,-0.02690140845070424,1.0,False
81,0.03473599999961152,-0.024600938967136138,1.0,False
82,0.022351999999955297,-0.026621621621621638,1.0,False
83,0.009604000000763335,-0.032098765432098775,1.0,False
84,0.0050979999996343395,-0.050625,1.0,False
85,0.011786999999458203,-0.03400000000000001,1.0,False
86,0.027114000000437954,-0.026666666666666682,1.0,False
87,0.026920000000245636,-0.025130890052356036,1.0,False
88,0.00677200000063749,-0.03814814814814816,1.0,False
89,0.016455999999379856,-0.029702970297029715,1.0,False
90,0.023558999999295338,-0.026447368421052646,1.0,False
91,0.026609999998981948,-0.025764705882352957,1.0,False
92,0.017026999999870895,-0.027840000000000014,1.0,False
93,0.005302000001393026,-0.0496969696969697,1.0,False
94,0.01938999999947555,-0.028909090909090922,1.0,False
95,0.013162999999622116,-0.03076923076923078,1.0,False
96,0.00925199999983306,-0.03921568627450981,1.0,False
97,0.017417000000932603,-0.027424242424242438,1.0,False
98,0.0022899999985384056,-0.10166666666666667,1.0,False
99,0.017254999998840503,-0.02731343283582091,1.0,False
100,0.002055000000837026,-0.07157894736842106,1.0,False
101,0.006262000000788248,-0.03750000000000001,1.0,False
102,0.010013999999500811,-0.030000000000000013,1.0,False
103,0.00992700000097102,-0.03272727272727274,1.0,False
104,0.010424999998576823,-0.03240506329113925,1.0,False
105,0.012091000000509666,-0.03240506329113925,1.0,False
106,0.028566000000864733,-0.025764705882352957,1.0,False
107,0.01992900000004738,-0.027903225806451628,1.0,False
108,0.015738000000055763,-0.02837606837606839,1.0,False
109,0.03294800000003306,-0.023858267716535354,1.0,False
110,0.03470999999990454,-0.024016393442622887,1.0,False
111,0.0029079999985697214,-0.06666666666666668,1.0,False
112,0.013863000000128523,-0.03065217391304349,1.0,False
113,0.03939600000012433,-0.023322033898304957,1.0,False
114,0.006628000001001055,-0.03921568627450981,1.0,False
115,0.03020699999979115,-0.025051546391752593,1.0,False
116,0.034749999998894054,-0.023919999999999927,1.0,False
117,0.0171489999993355,-0.028235294117647074,1.0,False
118,0.011549000000741216,-0.031666666666666676,1.0,False
119,0.006960000000617583,-0.03606557377049181,1.0,False
120,0.027970000001005246,-0.024558139534883706,1.0,False
121,0.0033939999993890524,-0.06083333333333334,1.0,False
122,0.053938999999445514,-0.022481012658227648,1.0,False
123,0.03301900000042224,-0.024394618834080686,1.0,False
124,0.015467000001081033,-0.029333333333333347,1.0,False
125,0.012810000000172295,-0.03139534883720931,1.0,False
126,0.04171199999836972,-0.023322033898304957,1.0,False
127,0.024650000001201988,-0.025868263473053904,1.0,False
128,0.014580999999452615,-0.029800000000000014,1.0,False
129,0.038026000000172644,-0.02322368421052618,1.0,False
130,0.030893000001015025,-0.023537906137184008,1.0,False
131,0.02398700000048848,-0.023589743589743487,1.0,False
132,0.015751999999338295,-0.025474860335195543,1.0,False
133,0.005369000000428059,-0.034626865671641804,1.0,False
134,0.00666799999999057,-0.034411764705882364,1.0,False
135,0.022618000000875327,-0.023983739837398307,1.0,False
136,0.015645999999833293,-0.025764705882352957,1.0,False
137,0.013947999999800231,-0.026853146853146867,1.0,False
138,0.009175999999570195,-0.03010309278350517,1.0,False
139,0.008958999998867512,-0.029333333333333347,1.0,False
140,0.017049000000042724,-0.026447368421052646,1.0,False
141,0.0175440000002709,-0.026621621621621638,1.0,False
142,0.011162999999214662,-0.028099173553719024,1.0,False
143,0.01193299999977171,-0.027777777777777794,1.0,False
144,0.007790999999997439,-0.03380281690140846,1.0,False
145,0.004318999999668449,-0.03921568627450981,1.0,False
146,0.015778999999383814,-0.026490066225165573,1.0,False
147,0.00976499999887892,-0.03139534883720931,1.0,False
148,0.016215999999985797,-0.025505617977528105,1.0,False
149,0.007854000001316308,-0.03076923076923078,1.0,False
150,0.009255000000848668,-0.03076923076923078,1.0,False
151,0.020499000000199885,-0.024170212765957398,1.0,False
152,0.01424100000076578,-0.026405228758169953,1.0,False
153,0.018722999999226886,-0.024803921568627457,1.0,False
154,0.01639400000021851,-0.025536723163841826,1.0,False
155,0.011619000000791857,-0.028032786885245915,1.0,False
156,0.015239999998811982,-0.025868263473053904,1.0,False
157,0.013684999999895808,-0.026363636363636377,1.0,False
158,0.01019099999939499,-0.02844827586206898,1.0,False
159,0.023073000000294996,-0.023813229571984354,1.0,False
160,0.011294999998426647,-0.02731343283582091,1.0,False
161,0.006111000000601052,-0.034626865671641804,1.0,False
162,0.013763999999355292,-0.026577181208053705,1.0,False
163,0.015111000000615604,-0.026012269938650318,1.0,False
164,0.02771299999949406,-0.023171521035598566,1.0,False
165,0.017094999999244465,-0.025051546391752593,1.0,False
166,0.022693999999319203,-0.023919999999999927,1.0,False
167,0.02630700000008801,-0.02322368421052618,1.0,False
168,0.013826000000335625,-0.026758620689655187,1.0,False
169,0.015833999999813386,-0.026012269938650318,1.0,False
170,0.022854999999253778,-0.023783783783783697,1.0,False
171,0.012498000000050524,-0.027538461538461553,1.0,False
172,0.012630000001081498,-0.027000000000000014,1.0,False
173,0.01572200000009616,-0.025764705882352957,1.0,False
174,0.011795999998867046,-0.026853146853146867,1.0,False
175,0.022495000001072185,-0.024224137931034437,1.0,False
176,0.015936000001602224,-0.025568181818181834,1.0,False
177,0.022098999999798252,-0.024049586776859443,1.0,False
178,0.008153999999194639,-0.031807228915662664,1.0,False
179,0.044887000000017,-0.01999999999999975,1.0,False
180,0.038096000000223285,-0.022378640776698818,1.0,False
181,0.05040800000097079,-0.01999999999999975,1.0,False
182,0.02722900000117079,-0.023589743589743487,1.0,False
183,0.015288000000509783,-0.026405228758169953,1.0,False
184,0.02418499999839696,-0.023919999999999927,1.0,False
185,0.011929999998756102,-0.026950354609929093,1.0,False
186,0.012912000000142143,-0.02924528301886794,1.0,False
187,0.015269999999873107,-0.025798816568047354,1.0,False
188,0.025894999998854473,-0.023951612903225738,1.0,False
189,0.024374999999054126,-0.024032921810699527,1.0,False
190,0.06968200000119396,-0.01999999999999975,1.0,False
191,0.07498699999996461,-0.01999999999999975,1.0,False
192,0.037505999998757034,-0.023684210526315697,1.0,False
193,0.02021500000046217,-0.02720588235294119,1.0,False
194,0.03278900000077556,-0.024558139534883706,1.0,False
195,0.03619500000058906,-0.024066390041493715,1.0,False
196,0.03953899999942223,-0.023438596491227953,1.0,False
197,0.019820999999865307,-0.027000000000000014,1.0,False
198,0.07226600000103645,-0.01999999999999975,1.0,False
199,0.02941599999940081,-0.024803921568627457,1.0,False
200,0.012515000000348664,-0.03113636363636365,1.0,False
201,0.02726299999994808,-0.025474860335195543,1.0,False
202,0.04710899999918183,-0.02325581395348824,1.0,False
203,0.03555400000004738,-0.024558139534883706,1.0,False
204,0.029704999999012216,-0.02426086956521735,1.0,False
205,0.033080000001064036,-0.024117647058823473,1.0,False
206,0.010621999999784748,-0.03306666666666668,1.0,False
207,0.07010400000035588,-0.01999999999999975,1.0,False
208,0.023806999999578693,-0.026202531645569634,1.0,False
