params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",114.23565800000006,100,-0.019999999999999997,-0.02,-0.02,-0.02,3.469446951953614e-18
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",106.8396600000001,100,-0.019999999999999997,-0.02,-0.02,-0.02,3.469446951953614e-18
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",101.74390599999992,100,-0.01956269291280194,-0.02,-0.02,-0.01583673469387755,0.0008699181917298915
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",108.37847099999999,100,-0.01958809663732498,-0.02,-0.02309148264984227,-0.01685185185185185,0.0009995450840847868
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",153.58898699999986,100,-0.018818445297207574,-0.01868519801264769,-0.024666666666666667,-0.011639344262295081,0.002168081231101497
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",58.27412099999992,100,-0.017503226891294583,-0.017673377028714105,-0.02,-0.012608695652173913,0.0016353949884246343
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",58.79841400000009,100,-0.01829369886721106,-0.01842285632348724,-0.02,-0.013154362416107382,0.0015371788760064216
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",72.27545800000007,100,-0.018391342234596465,-0.018573088842975205,-0.02,-0.011282051282051281,0.0016515508673662792
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",66.91307099999995,100,-0.021113861922418695,-0.021218997875819767,-0.03180722891566265,-0.014975369458128074,0.0033438841200411885
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",58.2188279999998,100,-0.01923989853497629,-0.02,-0.028828828828828826,-0.013108108108108108,0.0020189874513457016
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",82.59380900000019,100,-0.019999999999999997,-0.02,-0.02,-0.02,3.469446951953614e-18
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",79.63544300000012,100,-0.019999999999999997,-0.02,-0.02,-0.02,3.469446951953614e-18
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",72.00635699999975,100,-0.01964779043570071,-0.02,-0.021772151898734177,-0.016,0.0008513580050162896
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",70.4464539999999,100,-0.018555061321102462,-0.01870386367269304,-0.02,-0.012388059701492538,0.0015536097933333463
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",74.14855299999999,100,-0.018856521219996664,-0.01897588709677419,-0.02,-0.014035087719298242,0.001440271305686255
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",59.79582700000037,100,-0.018452958545924922,-0.018583308737998922,-0.02,-0.01451612903225806,0.0012480457648917113
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",60.83093000000008,100,-0.019220122151982835,-0.02,-0.02,-0.01417142857142857,0.0012218440208902554
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",64.24030200000016,100,-0.01763968239116954,-0.017852545918729167,-0.02,-0.012661870503597123,0.0016716418371428262
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",54.94067599999971,100,-0.017443261458488582,-0.017673812644323782,-0.024066390041493774,-0.012714285714285714,0.0015973960613305893
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",52.38735600000018,100,-0.018391949524931096,-0.018271007630780545,-0.02241975308641975,-0.013376623376623374,0.0017320049073825275
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",65.37080700000024,100,-0.019999999999999997,-0.02,-0.02,-0.02,3.469446951953614e-18
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",71.7799570000002,100,-0.019999999999999997,-0.02,-0.02,-0.02,3.469446951953614e-18
