steps,time,reward,delta,converged
1,0.012617999999974927,-11.000468570033084,0.36315151515050065,False
2,0.012578000000075917,-17.895069923667453,0.16149862259169995,False
3,0.01374500000019907,-22.683394827942198,0.08294095111585195,False
4,0.015095000000201253,-26.094619804942113,0.047797613680309374,False
5,0.0127709999999297,-28.54111146204875,0.031031562983763472,False
6,0.014380999999957567,-30.296263249511743,0.020197545022236394,False
7,0.014623000000028696,-31.55679954165775,0.01312999631862518,False
8,0.016823000000158572,-32.462313293845156,0.008570696719130017,False
9,0.013586000000032072,-33.11301838682576,0.005872481197803231,False
10,0.015683000000080938,-33.58044629869148,0.003994999953676075,False
11,0.01411299999995208,-33.91619404733683,0.002721148957053436,False
12,0.016170999999985725,-34.15724710209617,0.0018993117760724987,False
13,0.01456000000007407,-34.33013101326973,0.0012800115070647905,False
14,0.014014000000088345,-34.453988536617906,0.0009127757869128589,False
15,0.014409999999998035,-34.54265269796607,0.0006820154476895046,False
16,0.01520299999992858,-34.60605459572671,0.0005168127108410026,False
17,0.01639599999998609,-34.65134891560673,0.000390629550987176,False
18,0.016595000000052096,-34.68367416280492,0.0002945889318107381,False
19,0.014169999999921856,-34.706716761908766,0.00022137420842202604,False
20,0.01707699999997203,-34.723125899128675,0.00016616808199966526,False
21,0.014859999999998763,-34.7347949054688,0.00012471372534704483,False
22,0.016453999999839652,-34.743079390505436,9.357833045725572e-05,False
23,0.01470999999992273,-34.74895075788936,7.019500474321483e-05,False
24,0.015026999999918189,-34.75310451477981,5.2637106644021214e-05,False
25,0.013306000000056883,-34.75603864122925,3.9456658658981736e-05,False
26,0.013478000000077373,-34.75810826461369,2.9564293424974575e-05,False
27,0.015036000000009153,-34.75956561176637,2.2140477710944073e-05,False
28,0.011897999999973763,-34.760590586918724,1.6570984320091187e-05,False
29,0.01576199999999517,-34.761310579548784,1.2394621822897633e-05,False
30,0.016257999999879758,-34.761815289979694,9.264604431458157e-06,True
