steps,time,reward,delta,converged
1,0.008959999999206048,-0.029800000000000014,1.0,False
2,0.005537999999432941,-0.03580645161290324,1.0,False
3,0.00856500000008964,-0.029800000000000014,1.0,False
4,0.0015480000001844019,-0.09,1.0,False
5,0.009375999999974738,-0.028750000000000015,1.0,False
6,0.008713999999599764,-0.03010309278350517,1.0,False
7,0.001607000000149128,-0.07157894736842106,1.0,False
8,0.007713000000876491,-0.03065217391304349,1.0,False
9,0.007271000000400818,-0.031529411764705896,1.0,False
10,0.007070999999996275,-0.032250000000000015,1.0,False
11,0.00868099999934202,-0.029423076923076937,1.0,False
12,0.011973000000580214,-0.02844827586206898,1.0,False
13,0.011837999998533633,-0.027903225806451628,1.0,False
14,0.01145399999950314,-0.027368421052631594,1.0,False
15,0.004449000000022352,-0.03849056603773586,1.0,False
16,0.0012170000009064097,-0.10166666666666667,1.0,False
17,0.010152999999263557,-0.02859649122807019,1.0,False
18,0.02753600000141887,-0.02367041198501863,1.0,False
19,0.009497999999439344,-0.031529411764705896,1.0,False
20,0.010732000000643893,-0.02867256637168143,1.0,False
21,0.008741999999983818,-0.03240506329113925,1.0,False
22,0.007951999999932013,-0.03324324324324326,1.0,False
23,0.009259000000383821,-0.031011235955056192,1.0,False
24,0.022247999999308377,-0.025730994152046795,1.0,False
25,0.012405999999828055,-0.028828828828828843,1.0,False
26,0.005930999999691267,-0.03750000000000001,1.0,False
27,0.006424999999580905,-0.03380281690140846,1.0,False
28,0.004369000000224332,-0.04177777777777779,1.0,False
29,0.0012509999996836996,-0.09538461538461539,1.0,False
30,0.014235999999073101,-0.025975609756097577,1.0,False
31,0.001704000000245287,-0.07157894736842106,1.0,False
32,0.010784000000057858,-0.027967479674796764,1.0,False
33,0.004150000000663567,-0.05161290322580645,1.0,False
34,0.007062999999106978,-0.03814814814814816,1.0,False
35,0.018190999999205815,-0.026950354609929093,1.0,False
36,0.0033380000004399335,-0.04512820512820513,1.0,False
37,0.021009000000049127,-0.026712328767123303,1.0,False
38,0.004589000000123633,-0.05379310344827586,1.0,False
39,0.018233999999210937,-0.02771653543307088,1.0,False
40,0.01057800000126008,-0.03342465753424659,1.0,False
41,0.0030310000001918525,-0.06454545454545456,1.0,False
42,0.03491000000030908,-0.02426086956521735,1.0,False
43,0.014880999999149935,-0.030537634408602164,1.0,False
44,0.08542800000032003,-0.023245033112582646,1.0,False
45,0.01289600000018254,-0.034411764705882364,1.0,False
46,0.01589800000147079,-0.02924528301886794,1.0,False
47,0.012655000000449945,-0.028750000000000015,1.0,False
48,0.017430999998396146,-0.02715328467153286,1.0,False
49,0.01780499999949825,-0.02867256637168143,1.0,False
50,0.008893000000171014,-0.03555555555555557,1.0,False
51,0.015703000000939937,-0.028828828828828843,1.0,False
52,0.007245999999213382,-0.03420289855072465,1.0,False
