steps,time,reward,delta,converged
1,0.021306000000095082,-11.452310231384091,0.3663809523709901,False
2,0.017071999999870968,-19.983109804988022,0.1795102041067612,False
3,0.017026999999870895,-27.006513354533013,0.10961160359502603,False
4,0.016746000000011918,-32.92260277403897,0.0709085786176395,False
5,0.019980000000032305,-37.936296466139936,0.055301137048384574,False
6,0.015077999999903113,-42.187264861604056,0.040428259684505564,False
7,0.01385800000002746,-45.79354968721295,0.0318564596317726,False
8,0.019342000000051485,-48.8530606489361,0.024931823583181488,False
9,0.021250999999892883,-51.448790271433275,0.019605484724519277,False
10,0.011647999999922831,-53.650021408419136,0.01589566599315901,False
11,0.014792000000170447,-55.51636755001028,0.012481365697069112,False
12,0.010275000000092405,-57.09782729001625,0.0103169930535826,False
13,0.01689200000009805,-58.43700349162978,0.00835866119179187,False
14,0.016670999999860214,-59.57012530050775,0.006652218652207734,False
15,0.01625800000010713,-60.52738980628159,0.00557570998275117,False
16,0.017612999999983003,-61.33540090776893,0.004523548112578435,False
17,0.016778999999814914,-62.016700066982835,0.003687456650786236,False
18,0.01643799999988005,-62.590506925526206,0.003103058233877798,False
19,0.018780000000106156,-63.07313089390083,0.00271218996501027,False
20,0.015701000000035492,-63.47856335205104,0.0023653148437673133,False
21,0.0167229999999563,-63.818662185172656,0.0020632957354113357,False
22,0.01734800000008363,-64.10351790174678,0.0017999235915631684,False
23,0.01615599999990991,-64.34171478436136,0.001570119711064466,False
24,0.01629000000002634,-64.54055109775192,0.0013695704326907587,False
25,0.01773300000013478,-64.70624187236821,0.0011945272455314293,False
26,0.017509999999901993,-64.84405139431382,0.0010416776663655924,False
27,0.015586999999868567,-64.95847367679352,0.0009081986278267062,False
28,0.01703399999996691,-65.05331220702267,0.0007916548094580034,False
29,0.01657799999998133,-65.13176835410681,0.0006899169405268635,False
30,0.016354000000092128,-65.19656934716367,0.000601114600991326,False
31,0.017966999999998734,-65.25001414753073,0.0005235880944448323,False
32,0.018679000000020096,-65.29400972957407,0.00045589625407019274,False
33,0.016452000000072076,-65.33015809708736,0.0003967956968250197,False
34,0.020627999999987878,-65.35981046104543,0.0003452086704873736,False
35,0.01950299999998606,-65.38408078749443,0.00030019468989131437,False
36,0.017086999999946784,-65.40389873932688,0.0002609321046909696,False
37,0.021148000000039247,-65.42002165641289,0.00022651084113778364,False
38,0.017061999999896216,-65.43311187317448,0.00019657509265946782,False
39,0.016515000000026703,-65.44370989266135,0.0001705844846621729,False
40,0.017156999999997424,-65.45224723214194,0.00014801000268227504,False
41,0.011015999999926862,-65.45909348404686,0.00012840053453971878,False
42,0.01596600000016224,-65.46456096039577,0.00011136739276421115,False
43,0.016842999999880703,-65.46890056809329,9.657408889937602e-05,False
44,0.01700599999981023,-65.47233289255767,8.372849714027852e-05,False
45,0.01802599999996346,-65.47503358129308,7.257655552139752e-05,False
46,0.017650000000003274,-65.47714614660065,6.289708055259857e-05,False
47,0.018849000000045635,-65.47878502146791,5.4497416811044586e-05,False
48,0.01661799999988034,-65.48004692556272,4.720973384853e-05,False
49,0.017121999999972104,-65.48101279991296,4.088784432601522e-05,False
50,0.017053999999916414,-65.48174628472918,3.5404455188542405e-05,False
51,0.01766300000008414,-65.48229721096224,3.064878233477453e-05,False
52,0.01981300000011288,-65.48270494107298,2.6524023558793797e-05,False
53,0.014730999999983396,-65.48300190469101,2.2945669912982636e-05,False
54,0.012482999999974709,-65.48321315460777,1.9840496539885732e-05,False
55,0.01784999999995307,-65.48335678689567,1.7143663186808267e-05,False
56,0.0144719999998415,-65.48344916767702,1.4798840202917551e-05,False
57,0.01562699999999495,-65.48350336539363,1.275882930520944e-05,False
58,0.01739099999986138,-65.4835287008212,1.097631063975979e-05,False
59,0.017109000000118613,-65.48353376955755,9.416730169520271e-06,True
