steps,time,reward,delta,converged
1,0.005928000000039901,-0.031951219512195136,1.0,False
2,0.0023330000003625173,-0.056296296296296296,1.0,False
3,0.0008809999999357387,-0.1288888888888889,1.0,False
4,0.004468999999971857,-0.03814814814814816,1.0,False
5,0.007121999999981199,-0.03240506329113925,1.0,False
6,0.0029500000000552973,-0.04578947368421053,1.0,False
7,0.003467000000000553,-0.044500000000000005,1.0,False
8,0.004598999999871012,-0.036610169491525436,1.0,False
9,0.0016789999999673455,-0.069,1.0,False
10,0.007601000000249769,-0.03076923076923078,1.0,False
11,0.0012679999999818392,-0.07157894736842106,1.0,False
12,0.0025599999999030842,-0.04882352941176471,1.0,False
13,0.0031650000000809086,-0.04000000000000001,1.0,False
14,0.007655999999769847,-0.02844827586206898,1.0,False
15,0.002098000000387401,-0.05161290322580645,1.0,False
16,0.0022890000000188593,-0.055,1.0,False
17,0.0028100000004087633,-0.04390243902439025,1.0,False
18,0.006585000000086438,-0.029423076923076937,1.0,False
19,0.0020309999999881256,-0.057692307692307696,1.0,False
20,0.007130999999844789,-0.03400000000000001,1.0,False
21,0.0054530000002159795,-0.03306666666666668,1.0,False
22,0.0023299999998016574,-0.04800000000000001,1.0,False
23,0.005681000000095082,-0.032250000000000015,1.0,False
24,0.0021879999999327993,-0.0496969696969697,1.0,False
25,0.004664000000047963,-0.03507692307692309,1.0,False
26,0.00649199999998018,-0.030537634408602164,1.0,False
27,0.0030069999997976993,-0.04177777777777779,1.0,False
28,0.002632000000176049,-0.04800000000000001,1.0,False
29,0.002641999999923428,-0.04390243902439025,1.0,False
30,0.005349000000023807,-0.032250000000000015,1.0,False
31,0.0020829999998568383,-0.05266666666666667,1.0,False
32,0.004986999999800901,-0.04177777777777779,1.0,False
33,0.01563799999985349,-0.027903225806451628,1.0,False
34,0.00835800000004383,-0.03580645161290324,1.0,False
35,0.007463000000370812,-0.04000000000000001,1.0,False
36,0.003816999999799009,-0.06260869565217392,1.0,False
37,0.0013750000002801244,-0.14250000000000002,1.0,False
38,0.006576000000222848,-0.04333333333333334,1.0,False
39,0.003302999999959866,-0.05161290322580645,1.0,False
40,0.01514999999972133,-0.027000000000000014,1.0,False
41,0.007247999999890453,-0.04000000000000001,1.0,False
42,0.004092000000127882,-0.04800000000000001,1.0,False
43,0.00764500000013868,-0.04000000000000001,1.0,False
44,0.017343999999866355,-0.027480916030534364,1.0,False
45,0.0017739999998411804,-0.118,1.0,False
46,0.011860000000069704,-0.03272727272727274,1.0,False
47,0.008894000000054803,-0.03884615384615386,1.0,False
48,0.004962999999861495,-0.050625,1.0,False
49,0.006311999999979889,-0.044500000000000005,1.0,False
50,0.008068000000093889,-0.03342465753424659,1.0,False
51,0.011037000000214903,-0.03076923076923078,1.0,False
52,0.01214899999968111,-0.032098765432098775,1.0,False
53,0.01161900000033711,-0.03139534883720931,1.0,False
54,0.008033000000068569,-0.034626865671641804,1.0,False
55,0.014940000000024156,-0.030000000000000013,1.0,False
56,0.010041999999884865,-0.032564102564102575,1.0,False
57,0.007205999999769119,-0.03781818181818183,1.0,False
58,0.03120199999966644,-0.02420600858369094,1.0,False
59,0.00903199999993376,-0.03139534883720931,1.0,False
60,0.007435999999870546,-0.04177777777777779,1.0,False
61,0.03356600000006438,-0.02357664233576632,1.0,False
62,0.01355699999976423,-0.02859649122807019,1.0,False
63,0.004760000000260334,-0.042790697674418614,1.0,False
64,0.0110290000002351,-0.032564102564102575,1.0,False
65,0.0062499999999090505,-0.03921568627450981,1.0,False
66,0.00955500000009124,-0.032894736842105275,1.0,False
67,0.010156000000279164,-0.03484848484848486,1.0,False
68,0.009922000000187836,-0.02915887850467291,1.0,False
69,0.0008989999996629194,-0.1288888888888889,1.0,False
70,0.010107000000061817,-0.02837606837606839,1.0,False
71,0.00661599999966711,-0.03400000000000001,1.0,False
72,0.011351999999988038,-0.028235294117647074,1.0,False
73,0.00398799999993571,-0.04041666666666668,1.0,False
74,0.01256599999987884,-0.02690140845070424,1.0,False
75,0.00626700000020719,-0.03342465753424659,1.0,False
76,0.0005830000000059954,-0.18333333333333335,1.0,False
77,0.0005539999997381528,-0.21600000000000003,1.0,False
78,0.003961000000344939,-0.04130434782608696,1.0,False
79,0.002051999999821419,-0.056296296296296296,1.0,False
80,0.0037990000000718283,-0.03921568627450981,1.0,False
81,0.006503999999949883,-0.030888888888888903,1.0,False
82,0.004754999999931897,-0.034411764705882364,1.0,False
83,0.009620999999697233,-0.027538461538461553,1.0,False
84,0.0030650000003333844,-0.044500000000000005,1.0,False
85,0.005759000000125525,-0.03306666666666668,1.0,False
86,0.0029420000000754953,-0.04333333333333334,1.0,False
87,0.004372999999759486,-0.03580645161290324,1.0,False
88,0.005662999999913154,-0.03324324324324326,1.0,False
89,0.012809999999717547,-0.026086956521739146,1.0,False
90,0.000739999999950669,-0.1288888888888889,1.0,False
91,0.004077999999935855,-0.04000000000000001,1.0,False
92,0.0034980000000359723,-0.03849056603773586,1.0,False
93,0.004637000000002445,-0.03420289855072465,1.0,False
94,0.0063669999999547144,-0.03076923076923078,1.0,False
95,0.003658999999970547,-0.04000000000000001,1.0,False
96,0.00802700000031109,-0.028750000000000015,1.0,False
97,0.0028919999999743595,-0.04578947368421053,1.0,False
98,0.003400000000056025,-0.03884615384615386,1.0,False
