step,reward,mean,median,std,max,min
0,-0.02,-0.02,-0.02,0.0,-0.02,-0.02
1,-0.02,-0.02,-0.02,0.0,-0.02,-0.02
2,-0.02,-0.02,-0.02,0.0,-0.02,-0.02
3,-0.02,-0.02,-0.02,0.0,-0.02,-0.02
4,-0.02,-0.02,-0.02,0.0,-0.02,-0.02
5,-0.02,-0.02,-0.02,0.0,-0.02,-0.02
6,-0.02,-0.02,-0.02,0.0,-0.02,-0.02
7,-0.02,-0.02,-0.02,0.0,-0.02,-0.02
8,-0.02,-0.02,-0.02,0.0,-0.02,-0.02
9,-0.02,-0.019999999999999997,-0.02,3.469446951953614e-18,-0.02,-0.02
10,-0.02,-0.019999999999999997,-0.02,3.469446951953614e-18,-0.02,-0.02
11,-0.02,-0.019999999999999997,-0.02,3.469446951953614e-18,-0.02,-0.02
12,-0.02,-0.019999999999999997,-0.02,3.469446951953614e-18,-0.02,-0.02
13,-0.02,-0.019999999999999997,-0.02,3.469446951953614e-18,-0.02,-0.02
14,-0.02,-0.02,-0.02,0.0,-0.02,-0.02
15,-0.02,-0.02,-0.02,0.0,-0.02,-0.02
16,-0.02,-0.02,-0.02,0.0,-0.02,-0.02
17,-0.02,-0.020000000000000004,-0.02,3.469446951953614e-18,-0.02,-0.02
18,-0.02,-0.020000000000000004,-0.02,3.469446951953614e-18,-0.02,-0.02
19,-0.02,-0.020000000000000004,-0.02,3.469446951953614e-18,-0.02,-0.02
20,-0.02,-0.020000000000000004,-0.02,3.469446951953614e-18,-0.02,-0.02
21,-0.02160655737704918,-0.020073025335320422,-0.02,0.00033464412675534406,-0.02,-0.02160655737704918
22,-0.021175059952038364,-0.020120939883873378,-0.02,0.0003970206445117198,-0.02,-0.02160655737704918
23,-0.021956087824351298,-0.020197404381393284,-0.02,0.0005343542956290237,-0.02,-0.021956087824351298
24,-0.02159349593495935,-0.02025324804353593,-0.02,0.000590726233684387,-0.02,-0.021956087824351298
25,-0.02,-0.020243507734169164,-0.02,0.0005812984450063803,-0.02,-0.021956087824351298
26,-0.02,-0.020234488929199938,-0.02,0.000572282784416772,-0.02,-0.021956087824351298
27,-0.02,-0.020226114324585653,-0.02,0.0005636528221604341,-0.02,-0.021956087824351298
28,-0.02,-0.020218317278910287,-0.02,0.000555384016697549,-0.02,-0.021956087824351298
29,-0.02,-0.020211040036279944,-0.02,0.0005474536345832328,-0.02,-0.021956087824351298
30,-0.02,-0.02020423229317414,-0.02,0.0005398406470704517,-0.02,-0.021956087824351298
31,-0.02,-0.020197850034012442,-0.02,0.000532525616087612,-0.02,-0.021956087824351298
32,-0.02,-0.020191854578436308,-0.02,0.0005254905774933802,-0.02,-0.021956087824351298
33,-0.02,-0.020186211796717594,-0.02,0.000518718926436928,-0.02,-0.021956087824351298
34,-0.02,-0.02018089145966852,-0.02,0.0005121953076598707,-0.02,-0.021956087824351298
35,-0.02,-0.02017586669689995,-0.02,0.0005059055122889645,-0.02,-0.021956087824351298
36,-0.02,-0.02017111354292968,-0.02,0.0004998363818427969,-0.02,-0.021956087824351298
37,-0.02,-0.02016661055495785,-0.02,0.0004939757196530154,-0.02,-0.021956087824351298
38,-0.02,-0.02016233848944611,-0.02,0.0004883122095774171,-0.02,-0.021956087824351298
39,-0.02,-0.020158280027209957,-0.02,0.0004828353416900927,-0.02,-0.021956087824351298
40,-0.02,-0.020154419538741423,-0.02,0.00047753534452750913,-0.02,-0.021956087824351298
41,-0.02,-0.020150742883057102,-0.02,0.00047240312341875756,-0.02,-0.021956087824351298
42,-0.02,-0.020147237234613913,-0.02,0.00046743020441316604,-0.02,-0.021956087824351298
43,-0.02,-0.020143890933827235,-0.02,0.0004626086833256617,-0.02,-0.021956087824351298
44,-0.02,-0.020140693357519963,-0.02,0.00045793117944080593,-0.02,-0.021956087824351298
45,-0.02,-0.020137634806269532,-0.02,0.0004533907934444298,-0.02,-0.021956087824351298
46,-0.02,-0.020134706406136137,-0.02,0.00044898106918343257,-0.02,-0.021956087824351298
47,-0.02,-0.020131900022674964,-0.02,0.0004446959588870673,-0.02,-0.021956087824351298
48,-0.02,-0.020129208185477514,-0.02,0.00044052979151540524,-0.02,-0.021956087824351298
49,-0.02,-0.020126624021767965,-0.02,0.0004364772439316445,-0.02,-0.021956087824351298
50,-0.02,-0.02012414119781173,-0.02,0.0004325333146240316,-0.02,-0.021956087824351298
51,-0.02,-0.020121753867084584,-0.02,0.0004286932997300841,-0.02,-0.021956087824351298
52,-0.02,-0.0201194566243094,-0.02,0.0004249527711404862,-0.02,-0.021956087824351298
53,-0.02,-0.02011724446459997,-0.02,0.0004213075564824817,-0.02,-0.021956087824351298
54,-0.02,-0.02011511274706179,-0.02,0.0004177537208029026,-0.02,-0.021956087824351298
55,-0.02,-0.02011305716229283,-0.02,0.0004142875497892945,-0.02,-0.021956087824351298
56,-0.02,-0.020111073703305234,-0.02,0.0004109055343840549,-0.02,-0.021956087824351298
57,-0.02,-0.020109158639455144,-0.02,0.00040760435666127164,-0.02,-0.021956087824351298
58,-0.0231715210355987,-0.020161063086847408,-0.02,0.0005653154105129772,-0.02,-0.0231715210355987
59,-0.02,-0.020158378702066618,-0.02,0.0005609637280473909,-0.02,-0.0231715210355987
60,-0.02,-0.020155782329901593,-0.02,0.0005567100498273405,-0.02,-0.0231715210355987
61,-0.02,-0.020153269711677375,-0.02,0.0005525507941487371,-0.02,-0.0231715210355987
62,-0.02,-0.020150836859111065,-0.02,0.0005484825573328635,-0.02,-0.0231715210355987
63,-0.02106060606060606,-0.02016505200288442,-0.02,0.0005557544673261196,-0.02,-0.0231715210355987
64,-0.02,-0.020162512741301583,-0.02,0.0005518368884209028,-0.02,-0.0231715210355987
65,-0.02,-0.02016005042703944,-0.02,0.000548000042524866,-0.02,-0.0231715210355987
66,-0.02,-0.020157661614695566,-0.02,0.0005442412338928689,-0.02,-0.0231715210355987
67,-0.021568,-0.02017840188506769,-0.02,0.0005662714019650344,-0.02,-0.0231715210355987
68,-0.02,-0.020175816350501495,-0.02,0.000562557184401876,-0.02,-0.0231715210355987
69,-0.02,-0.020173304688351473,-0.02,0.00055891400070213,-0.02,-0.0231715210355987
70,-0.02,-0.02017086377724793,-0.02,0.0005553396588654798,-0.02,-0.0231715210355987
71,-0.021596091205211727,-0.020190658602636316,-0.02,0.0005761415335333045,-0.02,-0.0231715210355987
72,-0.02,-0.020188046840956365,-0.02,0.0005726107663091331,-0.02,-0.0231715210355987
73,-0.02,-0.020185505667429927,-0.02,0.0005691428987704133,-0.02,-0.0231715210355987
74,-0.02,-0.020183032258530863,-0.02,0.0005657361319392443,-0.02,-0.0231715210355987
75,-0.02445454545454545,-0.020239236379531057,-0.02,0.0007434808881805695,-0.02,-0.02445454545454545
76,-0.0210913140311804,-0.02025030232305897,-0.02,0.0007449105101319489,-0.02,-0.02445454545454545
77,-0.02,-0.02024709331891719,-0.02,0.0007406555176625067,-0.02,-0.02445454545454545
78,-0.02,-0.02024396555538659,-0.02,0.0007364711337301788,-0.02,-0.02445454545454545
79,-0.02,-0.020240915985944255,-0.02,0.0007323554800856597,-0.02,-0.02445454545454545
80,-0.02,-0.020237941714512844,-0.02,0.0007283067449987864,-0.02,-0.02445454545454545
81,-0.02,-0.02023503998628708,-0.02,0.0007243231804376627,-0.02,-0.02445454545454545
82,-0.02,-0.020232208179223377,-0.02,0.0007204030993779246,-0.02,-0.02445454545454545
83,-0.02,-0.020229443796137385,-0.02,0.0007165448732366138,-0.02,-0.02445454545454545
84,-0.02,-0.0202267444573593,-0.02,0.0007127469294252081,-0.02,-0.02445454545454545
85,-0.02,-0.020224107893901635,-0.02,0.0007090077490164574,-0.02,-0.02445454545454545
86,-0.02,-0.020221531941098166,-0.02,0.0007053258645198161,-0.02,-0.02445454545454545
87,-0.023798449612403103,-0.020262178732817538,-0.02,0.0007972260703575775,-0.02,-0.02445454545454545
88,-0.02,-0.020259232904358916,-0.02,0.0007932161329863546,-0.02,-0.02445454545454545
89,-0.021010309278350518,-0.020267578197403265,-0.02,0.0007927162933734956,-0.02,-0.02445454545454545
90,-0.02135359116022099,-0.020279512405785877,-0.02,0.0007964370135797658,-0.02,-0.02445454545454545
91,-0.02,-0.020276474227462118,-0.02,0.0007926267721059886,-0.02,-0.02445454545454545
92,-0.02,-0.02027350138630661,-0.02,0.00078886933155912,-0.02,-0.02445454545454545
93,-0.02141007194244604,-0.020285592562435752,-0.02,0.0007932784694305634,-0.02,-0.02445454545454545
94,-0.02,-0.02028258632493643,-0.02,0.0007896303810776883,-0.02,-0.02445454545454545
95,-0.02,-0.02027964271738501,-0.02,0.0007860307483534898,-0.02,-0.02445454545454545
96,-0.02,-0.02027675980277279,-0.02,0.0007824785511344899,-0.02,-0.02445454545454545
97,-0.02,-0.020273935723152663,-0.02,0.000778972797239983,-0.02,-0.02445454545454545
98,-0.02,-0.020271168695646068,-0.02,0.0007755125215633096,-0.02,-0.02445454545454545
99,-0.02,-0.020268457008689608,-0.02,0.0007720967852279284,-0.02,-0.02445454545454545
