params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",55.94183499999997,100,-0.021150073272527013,-0.02,-0.03180722891566265,-0.02,0.0021345370179509902
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",60.00769200000002,100,-0.020495853517484192,-0.02,-0.02526881720430107,-0.02,0.0010267849611690317
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",58.690614000000096,100,-0.02014828755714742,-0.02,-0.02675862068965517,-0.02,0.0007633467079280781
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",53.9854949999999,100,-0.021027291577665173,-0.021042034572814325,-0.024644549763033173,-0.02,0.0011619277526898684
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",52.5688439999999,100,-0.02005510955688323,-0.02,-0.024414414414414415,-0.01662251655629139,0.001161002013564666
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",52.270734000000175,100,-0.01994339760889966,-0.02,-0.02123893805309734,-0.01796812749003984,0.0004012411328002599
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",56.57736100000011,100,-0.019890979045049738,-0.02,-0.022648648648648646,-0.016370106761565834,0.0009885459153152723
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",59.784546999999975,100,-0.01981947820163971,-0.02,-0.021304926764314246,-0.016880733944954127,0.0005934341555932498
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",45.23640399999999,100,-0.019942282941599932,-0.02,-0.025444444444444443,-0.013928571428571427,0.0021469872413562973
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",25.924106000000165,100,-0.027418792601505027,-0.025925831202046033,-0.0496969696969697,-0.02109253065774805,0.005256105605025114
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",37.345699000000195,100,-0.021905180736757637,-0.021218253796564703,-0.03361111111111111,-0.02,0.002668557458936087
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",53.793632000000116,100,-0.020195942063572146,-0.02,-0.027716535433070868,-0.02,0.0008665303856076648
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",44.68859499999985,100,-0.02094502466222505,-0.02,-0.028749999999999998,-0.018832951945080088,0.0015843909234663726
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",45.732847999999876,100,-0.020187144409927468,-0.02,-0.022311320754716975,-0.02,0.0005235200201741713
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",48.62789500000008,100,-0.02031312140120523,-0.02,-0.023656716417910447,-0.018979999999999997,0.0007439983168336019
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",53.43383199999994,100,-0.020089926745495965,-0.02,-0.022729805013927577,-0.017481481481481476,0.0009532546198737848
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",49.775138999999854,100,-0.02006306456293594,-0.02,-0.024757281553398056,-0.016899696048632215,0.0010132432274769921
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",57.61173499999995,100,-0.019802596758857458,-0.02,-0.021695501730103806,-0.016370106761565834,0.0007436287176372887
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",41.029699000000164,100,-0.020560225692741137,-0.02,-0.02640522875816993,-0.01578512396694215,0.002196009966524362
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",35.947357999999895,100,-0.023022920191549164,-0.022258076504472937,-0.03420289855072464,-0.02,0.002648816681212695
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",44.21438899999998,100,-0.021051897924708275,-0.02,-0.033999999999999996,-0.02,0.0023869274835007477
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",50.61542599999984,100,-0.020087367880093625,-0.02,-0.02408333333333333,-0.02,0.0004628429976711594
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",70.8783249999999,100,-0.020270747918072585,-0.02,-0.027153284671532846,-0.02,0.0009288960465554434
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",61.984245999999985,100,-0.020059739552446353,-0.02,-0.02208955223880597,-0.017017543859649122,0.000616685783900867
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",45.19072099999994,100,-0.020158403886380974,-0.02,-0.02334470989761092,-0.015984251968503938,0.0010418702538312224
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",44.792999999999665,100,-0.020058325298477925,-0.02,-0.023475177304964536,-0.016344086021505375,0.0008316233228956237
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",42.74130000000014,100,-0.020061376119435745,-0.02,-0.024117647058823532,-0.015984251968503938,0.001015435622574242
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",43.104537000000164,100,-0.02006610224981501,-0.02,-0.02310126582278481,-0.017565632458233886,0.0007989107684380677
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",38.66620699999976,100,-0.02026057854363444,-0.02,-0.027313432835820897,-0.014035087719298242,0.001954136116965344
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",30.199640000000272,100,-0.023166121760246065,-0.022450015312595703,-0.035555555555555556,-0.02,0.0029709497471441595
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",43.969258999999965,100,-0.0212663619760177,-0.02,-0.03661016949152543,-0.02,0.002542725316030371
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",58.30117799999971,100,-0.020381006946974117,-0.02,-0.030769230769230767,-0.02,0.0013335429463972716
