steps,time,reward,delta,converged
1,0.015985999999998057,-16.102775339418155,0.6733333333333333,False
2,0.012765999999942323,-23.181018928473545,0.15711111111111098,False
3,0.00887199999999666,-26.839464389782304,0.061259757878372206,False
4,0.011439999999993233,-28.825603635851092,0.030517842856698674,False
5,0.011620999999991,-29.91230197909108,0.018062928883645787,False
6,0.014165999999931955,-30.5111555849028,0.011659004538787918,False
7,0.014858000000003813,-30.84248867004606,0.007191544514722023,False
8,0.011883000000011634,-31.026305081815583,0.004335941956590955,False
9,0.014747000000056687,-31.12875942143191,0.0025834641586378326,False
10,0.014348999999924672,-31.18609533996684,0.0015296749372923357,False
11,0.014904999999998836,-31.218355525282053,0.0009026912123111241,False
12,0.01602299999990464,-31.236607832685273,0.00053173484546995,False
13,0.01332999999999629,-31.24699996489796,0.00031291577372413726,False
14,0.01193999999998141,-31.252957711084537,0.00018404776940927903,False
15,0.013934000000062952,-31.25639645471569,0.00010822048396796902,False
16,0.01373799999998937,-31.258392363069436,6.362401406490026e-05,False
17,0.013045000000033724,-31.259557109032443,3.7402114460516334e-05,False
18,0.009229000000004817,-31.2602402750874,2.198626441002327e-05,False
19,0.013277000000016415,-31.26064245241197,1.3342876219152311e-05,False
20,0.01127099999996517,-31.26088006037433,8.463828705215781e-06,True
