params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",22.685726000000045,100,-0.02111788522349123,-0.02,-0.03306666666666667,-0.02,0.0020062110510955036
"{""discount_factor"": 0.1}",20.877327000000037,100,-0.02101736207780858,-0.02,-0.03289473684210526,-0.02,0.002153028280239127
"{""discount_factor"": 0.2}",22.767837999999983,100,-0.02045132946073745,-0.02,-0.03152941176470588,-0.02,0.0014638330640446334
"{""discount_factor"": 0.3}",24.304468000000043,100,-0.020222193854306653,-0.02,-0.026086956521739126,-0.02,0.0008515099698265822
"{""discount_factor"": 0.4}",27.668052000000102,100,-0.020147975774271666,-0.02,-0.028909090909090905,-0.02,0.0009310221965780494
"{""discount_factor"": 0.5}",25.192017999999962,100,-0.020144308176985173,-0.02,-0.033424657534246574,-0.02,0.0013384741431700905
"{""discount_factor"": 0.6}",23.557396999999924,100,-0.019999999999999997,-0.02,-0.02,-0.02,3.469446951953614e-18
"{""discount_factor"": 0.7}",24.263953000000015,100,-0.019999999999999997,-0.02,-0.02,-0.02,3.469446951953614e-18
"{""discount_factor"": 0.8}",24.086280999999985,100,-0.019999999999999997,-0.02,-0.02,-0.02,3.469446951953614e-18
"{""discount_factor"": 0.9}",15.496297000000027,100,-0.017441824194611617,-0.017697411333061554,-0.02,-0.011282051282051281,0.001539419284595287
