episode,length,time,reward,delta
0,28.0,0.004285000000891159,-1.56,-1.0
1,59.0,0.007427000000461703,-2.1800000000000006,-1.0
2,16.0,0.0015239999993355013,-1.32,-0.982
3,21.0,0.003565000000889995,-1.4200000000000002,-1.0
4,15.0,0.0027759999993577367,-1.3,-1.0
5,36.0,0.00422199999957229,-1.7200000000000002,-1.0
6,27.0,0.0035420000003796304,-1.54,-1.0
7,55.0,0.00636800000029325,-2.1000000000000005,-1.0
8,12.0,0.0017369999986840412,-1.24,-1.0
9,78.0,0.00974799999858078,-2.560000000000001,-1.0
10,4.0,0.00047699999959149864,-1.08,-1.0
11,34.0,0.0031899999994493555,-1.6800000000000002,-0.957734312212
12,13.0,0.001209000000017113,-1.26,-1.0
13,102.0,0.013530000000173459,-3.0400000000000014,-0.982
14,47.0,0.005198999999265652,-1.9400000000000004,-1.0
15,19.0,0.002217999999629683,-1.3800000000000001,-1.0
16,25.0,0.0035180000013497192,-1.5,-1.0
17,66.0,0.0067009999984293245,-2.3200000000000007,-1.0
18,18.0,0.0019679999986692565,-1.36,-0.8575066016912134
19,27.0,0.004697000000305707,-1.54,-0.9441308234728
20,47.0,0.0050580000006448245,-1.9400000000000004,-0.982
21,30.0,0.002898000000641332,-1.6,-0.96740326
22,34.0,0.0037950000005366746,-1.6800000000000002,-1.0
23,42.0,0.00550199999997858,-1.8400000000000003,-0.09819999999999995
24,88.0,0.009076000000277418,-2.760000000000001,-0.88066
25,6.0,0.0007029999997030245,-1.12,-0.09674032599999993
26,29.0,0.004135000001042499,-1.58,-0.08575066016912136
27,72.0,0.007258999999976368,-2.440000000000001,-0.892
28,37.0,0.0033089999997173436,-1.7400000000000002,-0.97066
29,20.0,0.002526999998735846,-1.4000000000000001,-0.9478030435650165
30,160.0,0.015739999998913845,-4.200000000000003,-0.95461285474
31,41.0,0.004390999998577172,-1.8200000000000003,-0.09478030435650164
32,52.0,0.005180999998628977,-2.0400000000000005,-1.0
33,21.0,0.0016889999988052296,-1.4200000000000002,-1.0
34,42.0,0.0034890000006271293,-1.8400000000000003,-0.09999999999999998
35,36.0,0.0030619999997725245,-1.7200000000000002,-0.8718145285474
36,98.0,0.015419999999721767,-2.9600000000000013,-0.982
37,24.0,0.004053000000567408,-1.4800000000000002,-0.982
38,7.0,0.0013539999999920838,-1.1400000000000001,-0.008575066016912158
39,28.0,0.004546000000118511,-1.56,-0.009478030435650209
40,45.0,0.008206000000427593,-1.9000000000000004,-1.0
41,8.0,0.0010390000006736955,-1.16,-0.9482608513407136
42,32.0,0.005395000000135042,-1.6400000000000001,-0.982
43,12.0,0.0021190000006754417,-1.24,-0.9471465561465705
44,41.0,0.007385000000795117,-1.8200000000000003,-0.982
45,28.0,0.005073000000265893,-1.56,-1.0
46,33.0,0.00623500000074273,-1.6600000000000001,-0.9348547075143341
47,74.0,0.011285000000498258,-2.480000000000001,-0.969526
48,61.0,0.009062999999514432,-2.2200000000000006,-0.9540987143911884
49,32.0,0.005352999998649466,-1.6400000000000001,-0.9802
50,47.0,0.009951000000000931,-1.9400000000000004,-1.0
51,17.0,0.0028800000000046566,-1.34,-0.09999999999999998
52,43.0,0.005310999998982879,-1.8600000000000003,-0.982
53,33.0,0.00603899999987334,-1.6600000000000001,-0.982
54,41.0,0.009038000000145985,-1.8200000000000003,-1.0
55,80.0,0.012730000000374275,-2.600000000000001,-1.0
56,43.0,0.00528900000063004,-1.8600000000000003,-0.09819999999999995
57,33.0,0.0037909999991825316,-1.6600000000000001,-0.09999999999999998
58,93.0,0.007523999998738873,-2.860000000000001,-1.0
59,103.0,0.007983999999851221,-3.0600000000000014,-0.9657989938
60,57.0,0.005537999999432941,-2.1400000000000006,-0.97066
61,25.0,0.0022189999999682186,-1.5,-0.9447002121155544
62,14.0,0.0016400000004068715,-1.28,-0.982
63,138.0,0.01632900000004156,-3.760000000000002,-1.0
64,64.0,0.006799000000683009,-2.2800000000000007,-0.08718145285474
65,68.0,0.007526000001234934,-2.3600000000000008,-0.9688599999999999
66,62.0,0.01005299999997078,-2.2400000000000007,-0.95855338
67,16.0,0.0014250000003812602,-1.32,-0.9368280402372353
68,73.0,0.007927999999083113,-2.460000000000001,-0.982
69,46.0,0.004732999999760068,-1.9200000000000004,-0.9413080295841695
70,67.0,0.00705999999991036,-2.3400000000000007,-0.9442043346401598
71,111.0,0.012624000000869273,-3.2200000000000015,-0.00981999999999994
72,24.0,0.002580999998826883,-1.4800000000000002,-0.982
73,132.0,0.014844999999695574,-3.640000000000002,-0.957574
74,15.0,0.0023029999993013917,-1.3,-0.09471465561465708
75,71.0,0.009652000000642147,-2.420000000000001,-0.9669329938
76,8.0,0.0007800000003044261,-1.16,-0.8487056040651635
77,42.0,0.003550000001268927,-1.8400000000000003,-0.8499565468405382
78,80.0,0.007749000000330852,-2.600000000000001,-0.0848705604065163
79,55.0,0.004455000000234577,-2.1000000000000005,-0.9802
80,11.0,0.0009819999995670514,-1.22,-0.9345021898052654
81,116.0,0.014619000001403037,-3.3200000000000016,-0.9503810709715497
82,42.0,0.005022999999710009,-1.8400000000000003,-0.09442043346401596
83,25.0,0.002072999999654712,-1.5,-0.93374563214095
84,37.0,0.003150999998979387,-1.7400000000000002,-0.8522139696615706
85,42.0,0.004245000000082655,-1.8400000000000003,-0.8404673792277773
86,125.0,0.011634000000412925,-3.5000000000000018,-0.09999999999999998
87,68.0,0.00722700000005716,-2.3600000000000008,-1.0
88,102.0,0.009329999998954008,-3.0400000000000014,-0.9435458372743717
89,48.0,0.006046000000424101,-1.9600000000000004,-1.0
90,30.0,0.002607000000352855,-1.6,-0.09657989938
91,60.0,0.005923999999140506,-2.2000000000000006,-1.0
92,22.0,0.001863999999841326,-1.4400000000000002,-0.08404673792277773
93,48.0,0.004840999999942142,-1.9600000000000004,-1.0
94,39.0,0.004546000000118511,-1.7800000000000002,-0.08522139696615705
95,29.0,0.002511999999114778,-1.58,-0.8596579475179557
96,13.0,0.0012729999998555286,-1.26,-0.09337456321409499
97,94.0,0.008487999999488238,-2.8800000000000012,-0.09706599999999999
